questions,lang,keywords
Este proinsulina o proteină?,ro,"proinsulină, proteină"
How tall is Michael Jordan?,en,"tall, Michael Jordan"
قد مایکل جردن چقدر است؟,fa,قد، مایکل جردن
Wie groß ist Michael Jordan?,de,"groß, Michael Jordan"
¿Qué altura tiene Michael Jordan?,es,"altura, Michael Jordan"
Quanto è alto Michael Jordan?,it,"altezza, Michael Jordan"
Quelle est la taille de Michael Jordan?,fr,"taille, Michael Jordan"
Hoe lang is Michael Jordan?,nl,"lang, Michael Jordan"
Ce înățime are Michael Jordan?,ro,"înălțime, Michael Jordan"
What is the capital of Canada?,en,"capital, Canada"
پایتخت کانادا کجاست؟,fa,پایتخت، کانادا
Was ist die Hauptstadt von Kanada?,de,"Hauptstadt, Kanada"
¿Cuál es la capital de Canadá?,es,"capital, Canadá"
Qual è la capitale del Canada?,it,"capitale, Canada"
Quelle est la capitale du Canada?,fr,"capitale, Canada"
Wat is de hoofdstad van Canada?,nl,"hoofdstad, Canada"
Care este capitala Canadei?,ro,"capitală, Canada"
Who is the governor of Wyoming?,en,"governor, Wyoming"
چه کسی فرماندار وایومینگ است؟,fa,فرماندار، وایومینگ
Wer ist der Gouverneur von Wyoming?,de,"Gouverneur, Wyoming"
¿Quién es el gobernador de Wyoming?,es,"gobernador, Wyoming"
Chi è il governatore del Wyoming?,it,"governatore, Wyoming"
Qui est le gouverneur du Wyoming?,fr,"gouverneur, Wyoming"
Wie is de gouverneur van Wyoming?,nl,"gouverneur, Wyoming"
Cine este guvernatorul din Wyoming?,ro,"guvernator, Wyoming"
Do Prince Harry and Prince William have the same parents?,en,"Prince Harry, Prince William, same, parents"
آیا شاهزاده هری و شاهزاده ویلیام والدین یکسان دارند؟,fa,شاهزاده هری، شاهزاده ویلیام، والدین، یکسان
Haben Prinz Harry und Prinz William dieselben Eltern?,de,"Prinz Harry, Prinz William, selbe Eltern"
¿Tienen el príncipe Harry y el prínciple William la misma madre?,es,"príncipe Harry, príncipe William, la misma madre"
Il principe Harry e il principe William hanno gli stessi genitoris?,it,"principe Harry, principe William, stessi genitori"
Ont les princes Harry et William la même mère?,fr,"prince Harry, Prince William, même mère"
Hebben prins Harry en prins William dezelfde ouders?,nl,"prins Harry, prins William, dezelfde, ouders"
Prințul Harry și Prințul William au aceiași părinți?,ro,"Prințul Harry, Prințul William, aceiași, părinți"
Who was the father of Queen Elizabeth II?,en,"father, Queen Elizabeth II"
چه کسی پدر ملکه الیزابت دوم بود؟,fa,پدر، ملکه الیزابت دوم
Wer war der Vater von Königin Elizabeth II?,de,"Vater, Königin Elizabeth II"
¿Quién fue el padre de la reina Isabel II?,es,"padre, reina Isabel II"
Chi fu il padre della regina Elisabetta II?,it,"padre, regina Elisabetta II"
Qui est le père de la reine Élisabeth II?,fr,"père, Élisabeth II"
Wie was de vader van koningin Elizabeth II?,nl,"koningin Elizabeth II, vader"
Cine a fost tatăl reginei Elisabeta a II-a?,ro,"tată, regina Elisabeta a II-a"
Which U.S. state has been admitted latest?,en,"U.S. state, admit, last"
آخرین ایالت ثبت شده ایالات متحده کدام است؟,fa,آخرین، ایالت، ثبت، ایالات متحده
Welcher US-Bundesstaat wurde zuletzt aufgenommen?,de,"US-Bundesstaat, aufnehmen, zuletzt"
¿Qué estado americano fué el último en ser admitido?,es,"estado americano, admitido, último"
Quale stato degli Stati Uniti è stato ammesso per ultimo?,it,"stato degli Stati Uniti, ammettere, ultimo"
Quel état américan fut le dernier à être admis?,fr,"état américain, admis, dernier"
Welke staat van de Verenigde Staten is als laatste toegetreden?,nl,"staat van de Verenigde Staten, toetreding"
Care stat american a fost recunoscut ultimul?,ro,"stat american, recunoscut, ultimul"
How many languages are spoken in Turkmenistan?,en,"languages, Turkmenistan"
چند زبان در ترکمنستان صحبت می شود؟],fa,زبان، ترکمنستان
Wieviele Sprachen werden in Turkmenistan gesprochen?,de,"Sprachen, Turkmenistan"
¿Cuántos idiomas se hablan en Turkmenistán?,es,"idiomas, Turkmenistán"
Quante lingue sono parlate in Turkmenistan?,it,"lingue, Turkmenistan"
Combien de langues sont parlées au Turkménistan?,fr,"langues, Turkménistan"
Hoeveel talen worden er gesproken in Turkmenistan?,nl,"talen, Turkmenistan"
Câte limbi sunt vorbite în Turkmenistan?,ro,"limbi, Turkmenistan"
Butch Otter is the governor of which U.S. state?,en,"U.S. state, governor, Butch Otter"
بوچ اوتر فرماندار کدام ایالت ایالات متحده است؟,fa,بوچ اوتر، فرماندار، ایالت ایالات متحده
Von welchem US-Bundesstaat ist Butch Otter der Gouverneur?,de,"US-Bundesstaat, Gouverneur, Butch Otter"
¿De qué estado americano es Butch Otter el gobernador?,es,"estado americano, gobernador, Butch Otter"
Di quale stato americano Butch Otter è governatore?,it,"stato degli Stati Uniti, governatore, Butch Otter"
Quel est l'état américain dont Butch Otter st le gouverneur?,fr,"état américain, Butch Otter, gouverneur"
Butch Otter is de gouverneur van welke staat van de Verenigde Staten?,nl,"staat van de Verenigde Staten, gouverneur, Butch Otter"
Butch Otter este guvernatorul cărui stat american?,ro,"stat american, guvernator, Butch Otter"
Give me all movies directed by Francis Ford Coppola.,en,"movie, direct, Francis Ford Coppola"
تمام فیلم های کارگردانی شده توسط فرانسیس فورد کوپولا را لیست کن.,fa,فیلم، کارگردانی، فرانسیس فورد کوپولا
"Gib mir alle Filme, bei denen Francis Ford Coppola Regie geführt hat.",de,"Film, Regie, Francis Ford Coppola"
Dame todas las películas que haya dirigido Francis Ford Coppola.,es,"película, director, Francis Ford Coppola"
Dammi tutti i film diretti da Francis Ford Coppola.,it,"film, dirigere, Francis Ford Coppola"
Donnes-moi tous les films dont Francis réalisés par Francis Ford Coppola.,fr,"film, directeur, Francis Ford Coppola"
Geef alle films die werden geregisseerd door Francis Ford Coppola.,nl,"films, regisseur, Francis Ford Coppola"
Dă-mi toate filmele regizate de Francis Ford Coppola.,ro,"film, regizat, Francis Ford Coppola"
Give me all actors starring in movies directed by William Shatner.,en,"actor, starring, movie, direct, William Shatner"
تمام بازیگرانی که در فیلم های کارگردانی شده توسط ویلیام شاتنر بازی کرده اند را لیست کن.,fa,بازیگرانی، فیلم های، کارگردانی شده، ویلیام شاتنر، بازی کرده اند
"Gib mir alle Schauspieler von Filmen, in denen William Shatner Regie geführt hat.",de,"Schauspieler, Film, Regie, William Shatner"
Dame todos los actores de películas dirigidas por William Shatner.,es,"actor, película, director, William Shatner"
Dammi tutti gli attori che recitano in film diretti da William Shatner.,it,"attore, recitare, film, diretto, William Shatner"
Donnes-moi tous les acteurs qui ont joué dans des films réalisés par Williams Shatner.,fr,"acteur, film, réalisé, William Shatner"
Geef alle acteurs van films waar William Shatner de regie van voerde.,nl,"acteur, film, regisseur, William Shatner"
Dă-mi toți actorii care joacă roluri principale în filme regizate de William Shatner.,ro,"actor, rol principal, film, regiza, William Shatner"
Are tree frogs a type of amphibian?,en,"tree frog, amphibian"
آیا قورباغه های درختی نوعی دوزیست هستند؟,fa,قورباغه های درختی، دوزیست
Sind Laubfrösche Amphibien?,de,"Laubfrosch, Amphibie"
¿Son las ranas verdes un tipo de anfibio?,es,"rana verde, anfibio"
Le rane verdi sono un tipo di anfibio?,it,"rana verde, anfibio"
Sont les grenouilles arboricoles un type d'amphibiens?,fr,"grenouilles arboricoles, amphibien"
Zijn boomkikkers een soort amfibie?,nl,"boomkikker, amfibie"
Sunt broaștele de copac un tip de amfibieni?,ro,"broască de copac, amfibian"
What is the birth name of Angela Merkel?,en,"birth name, Angela Merkel"
نام قبل از ازدواج آنگلا مرکل چیست؟,fa,نام قبل از ازدواج، آنگلا مرکل
Was ist der Geburtsname von Angela Merkel?,de,"Geburtsname, Angela Merkel"
¿Cuál es el nombre de soltera de Angela Merkel?,es,"nombre de soltera, Angela Merkel"
Qual è il nome da nubile di Angela Merkel?,it,"nome da nubile, Angela Merkel"
Quel est le nom de jeune fille d'Angela Merkel?,fr,"nom de jeune fille, Angela Merkel"
Wat is de meisjesnaam van Angela Merkel?,nl,"meisjesnaam, Angela Merkel"
Care este numele de domnișoară al Angelei Merkel?,ro,"nume de domnișoară, Angela Merkel"
Give me all Methodist politicians.,en,"politician, Methodist"
تمام سیاستمداران متدیست را لیست کن.,fa,سیاستمداران، متدیست
"Gib mir alle Politiker, die Methodisten sind.",de,"Politiker, Methodist"
Dame todos los políticos que sean metodístas.,es,"políticos, metodístas"
Dammi tutti i politici metodisti.,it,"politici, metodista"
Donnes-moi tous les politiciens qui sont méthodistes.,fr,"politiciens, méthodistes"
Geef alle politici die methodist zijn.,nl,"politici, methodist"
Dă-mi toți politicienii metodiști,ro,"politician, metodist"
How often did Jane Fonda marry?,en,"Jane Fonda, marry, how often"
جین فوندا چند بار ازدواج کرد؟,fa,جین فوندا، ازدواج
Wie oft hat Jane Fonda geheiratet?,de,"Jane Fonda, heiraten, wie oft"
¿Cuántas veces ha estado casada Jane Fonda?,es,"Jane Fonda, casada, cuántas veces"
Quante volte si è sposata Jane Fonda?,it,"Jane Fonda, sposata, quante volte"
Combien de fois s'est mariée Jane Fonda?,fr,"Jane Fonda, marriages, nombre de fois"
Hoe vaak is Jane Fonda getrouwd?,nl,"Jane Fonda, getrouwd, hoe vaak"
Cât de des s-a măritat Jane Fonda?,ro,"Jane Fonda, mărita, cât de des"
Give me all Australian nonprofit organizations.,en,"nonprofit organization, Australia"
تمام سازمان های ناسودبر استرالیایی را لیست کن.,fa,سازمان های ناسودبر، استرالیایی
Gib mir alle gemeinnützigen Organisationen in Australien.,de,"gemeinnützige Organisation, Australien"
Dame todas las organizaciones benéficas de Australia.,es,"organizaciones benéficas, Australia"
Dammi tutte le organizzazioni australiane non a scopo di lucro.,it,"organizzazioni non a scopo di lucro, Australia"
Donnes-moi toutes les associations australiennes à but non lucratif.,fr,"Association à but non lucratif, Australie"
Noem alle Australische organisaties zonder winstoogmerk.,nl,"organisatie zonder winstoogmerk, Australië"
Dă-mi toate organizațiile non-profit din Australia.,ro,"organizație non-profit, Australia"
In which military conflicts did Lawrence of Arabia participate?,en,"Lawrence of Arabia, military conflict"
در چه درگیرهای نظامی لورنس عربستان شرکت کرد؟,fa,درگیرهای نظامی، لورنس عربستان
An welchen militärischen Auseinandersetzungen war Lawrence von Arabien beteiligt?,de,"Lawrence von Arabien, militärische Auseinandersetzung"
¿En qué conflictos militares participó Lawrence de Arabia?,es,"Lawrence de Arabia, conflicto militar"
A quali conflitti militari ha partecipato Lawrence d'Arabia?,it,"Lawrence d'Arabia, conflitto militare"
