questions,lang,keywords
Wat is de op één na hoogste berg ter wereld?,nl,"berg, op één na hoogste"
Care este al doilea cel mai înalt munte de pe Pământ?,ro,"munte, al doilea cel mai înalt"
Give me all professional skateboarders from Sweden.,en,"professional, skateboarder, Sweden"
Gib mir alle Profiskateboarder aus Schweden.,de,"Profiskateboarder, Schweden"
Dame todos las skateboarders profesionales de Suecia.,es,"skateboarder profesional, Suecia"
Dammi tutti gli skateboarders professionisti della Svezia.,it,"skateboarders professionisti, Svezia"
Donne-moi tous les skateboarders professionnels de Suède.,fr,"skateboarders professionnels, Suède"
Noem alle professionele skateboarders uit Zweden.,nl,"skateboarder, professioneel, Zweden"
Dă-mi toți skateboarderii profesioniști din Suedia.,ro,"profesionist, skateboarder, Suedia"
When was Alberta admitted as province?,en,"Alberta, admit, province"
Wann wurde die Provinz Alberta gegründet?,de,"Provinz, Alberta, gegründet"
¿Cúando fué fundada la provincia de Alberta?,es,"provincia, Alberta, fundada"
Quando Alberta è stata ammessa come provincia?,it,"Alberta, ammessa, provincia"
Quand a Alberta reçu le status de province?,fr,"Alberta, reçu, province"
Wanneer werd de provincie Alberta gesticht?,nl,"provincie, Alberta, gesticht"
Când a fost Alberta recunoscută ca provincie?,ro,"Alberta, recunoaște, provincie"
To which countries does the Himalayan mountain system extend?,en,"Himalayan mountain system, extend, country"
Über welche Länder erstreckt sich der Himalaya?,de,"Himalaya, erstrecken, Land"
¿Por qué países se extiende el Himalaya?,es,"Himalaya, extiende, países"
Su quali stati si estende la catena montuosa dell'Himalaya?,it,"catena montuosa dell'Himalaya, estendersi, stati"
Quels sont les pays chevauchés par l'Himalaya?,fr,"Himalaya, chevauchés, pays"
Over welke landen strekt de Himalaya zich uit?,nl,"Himalaya, land, uitstrekken"
Peste ce țări se întinde lanțul munților Himalaya?,ro,"lanțul munților Himalaya, întinde, țară"
Give me a list of all bandleaders that play trumpet.,en,"bandleader, play, trumpet"
"Gib mir eine Liste aller Bandleader, die Trompete spielen.",de,"Bandleader, spielen, Trompete"
Dame una lista de todos los líderes de un grupo que tocan la trompeta.,es,"líder de grupo, tocar, trompeta"
Dammi la lista di tutti i direttori di orchestra che suonano la tromba.,it,"direttori di orchestra, suonare, tromba"
Donne-moi une liste de tous les chefs d'orchestre qui jouent trompette.,fr,"chef d'orchestre, jouer, trompette"
Geef me een lijst van alle bandleider die trompet spelen.,nl,"bandleider, spelen, trompet"
Dă-mi o listă a tuturor conducătorilor de formații care cântă la trompetă.,ro,"conducător de formație, cântă, trompetă"
Which countries have more than ten caves?,en,"country, cave, more than ten"
In welchen Ländern gibt es mehr als zehn Höhlen?,de,"Land, Höhle, mehr als zehn"
¿Qué países tienen más de diez cuevas?,es,"país, cuevas, más de diez"
Quali nazioni hanno più di dieci grotte?,it,"nazione, grotta, più di dieci"
Quels pays ont plus de dix grottes?,fr,"pays, grottes, plus de dix"
Welke landen hebben meer dan tien grotten?,nl,"land, grotten, meer dan tien"
Ce țări au mai mult de zece peșteri?,ro,"țară, peșteră, mai mult de zece"
What is the total amount of men and women serving in the FDNY?,en,"total amount, men, women, serve, FDNY"
Wieviele Männer und Frauen arbeiten in der New Yorker Berufsfeuerwehr?,de,"Männer, Frauen, arbeiten, New York, Berufsfeuerwehr"
¿Cúantos hombres y mujeres trabajan para los bomberos de Nueva York?,es,"hombres, mujeres, bomberos, Nueva York"
Qual è il totale di uomini e donne che prestano servizio nel dipartimento dei vigili del fuoco di New York?,it,"totale, uomini, donne, prestare servizio, dipartimento dei vigili del fuoco di New York"
Combien d'hommes et femmes sont membres du corps des sapeurs-pompiers professionnels de New York?,fr,"hommes, femmes, sapeurs-pompiers professionnels de New York"
Wat is het totale aantal vrouwen en mannen dat werkt bij de brandweer van New York?,nl,"mannen, vrouwen, brandweer, New York"
Care este numărul total de bărbați și femei membri ai Departamentului de Pompieri din New York?,ro,"număr total, bărbați, femei, membri, Departamentul de Pompieri din New York"
Who produces Orangina?,en,"produce, Orangina"
Wer stellt Orangina her?,de,"herstellen, Orangina"
¿Quién produce Orangina?,es,"Orangina, productor"
Chi produce l'Orangina?,it,"Orangina, produttore"
Qui produit Orangina?,fr,"produire, Orangina"
Wie is de producent van Orangina?,nl,"producent, Orangina"
Cine produce Orangina?,ro,"produce, Orangina"
Who is the Formula 1 race driver with the most races?,en,"Formula 1, race driver, races, most"
Wer ist der Formel-1-Fahrer mit den meisten Rennen?,de,"Formel 1, Rennfahrer, Rennen, die meisten"
¿Quién es el conductor de Formula 1 con más carreras?,es,"Fconductor, órmula 1, carreras, más"
Qual è il pilota di Formula 1 con più gare?,it,"Formula 1, pilota, maggior numero di gare"
Quel est le pilote de Formule 1 qui a gagné le plus de courses?,fr,"Formule 1, pilote, plus de courses"
Wie is de Formule 1-coureur met de meeste races op zijn naam?,nl,"Formule 1, coureur, races, de meeste"
Cine este pilotul de curse Formula 1 cu cele mai multe curse?,ro,"Formula 1, pilot de curse, cele mai multe"
Give me all world heritage sites designated within the past two years.,en,"world heritage site, designate, past two years"
"Gib mir alle Welterbestätten, die in den vergangenen zwei Jahren aufgenommen wurden.",de,"Welterbestätte, aufnehmen, vergangene zwei Jahre"
¿Qué patrimonios de la humanidad fueron reconocidos en los últimos dos años?,es,"patrimonios de la humanidad, reconocidos, últimos dos años"
Dammi tutti i siti designati patrimoni dell'umanità negli ultimi due anni.,it,"patrimoni dell'umanità, designare, ultimi due anni"
Donne-moi tous les patrimoines mondiaux qui ont été inscrits pendant les derniers deux ans.,fr,"patrimoines mondiaux, inscrits, derniers deux ans"
Noem alle plaatsen op de Werelderfgoedlijst die in de laatste twee jaar zijn toegevoegd.,nl,"Werelderfgoed, laatste twee jaar, toevoegen"
Dă-mi toate siturile de patrimoniu mondial desemnate in ultimii doi ani.,ro,"situri de patrimoniu mondial, desemna, ultimii doi ani"
Who is the youngest player in the Premier League?,en,"player, Premier League, youngest"
Wer ist der jüngste Spieler in der Premier League?,de,"Spieler, Premier League, jüngste"
¿Quién es el jugador más jóven de la Premier League?,es,"jugador, más jóven, Premier League"
Chi è il giocatore più giovane della Premier League?,it,"giocatore, Premier League, più giovane"
Quel est le joueur le plus jeune de la Premier League?,fr,"joueur, Premier League, plus jeune"
Wie is de jongste speler in de Premier League?,nl,"speler, jongste, Premier League"
Cine este cel mai tânăr jucător din Premier League?,ro,"juător, Premier League, cel mai tânăr"
Give me all members of Prodigy.,en,"member, Prodigy"
Gib mir alle Bandmitglieder von Prodigy.,de,"Bandmitglied, Prodigy"
Dame todos los miembros de la banda Prodigy.,es,miembros de la banda Prodigy
Dammi tutti i membri dei Prodigy.,it,"membri, Prodigy"
Donne-moi tous les membres de Prodigy.,fr,"members, Prodigy"
Noem alle leden van Prodigy.,nl,"leden, Prodigy"
Dă-mi toții membrii Prodigy.,ro,"membru, Prodigy"
What is the longest river?,en,"river, longest"
Was ist der längste Fluss?,de,"Fluss, längster"
¿Cuál es el río más largo?,es,"río, más largo"
Qual è il fiume più lungo?,it,"fiume, più lungo"
Quel est le cours d'eau le plus long?,fr,"cours d'eau, plus long"
Wat is de langste rivier?,nl,"rivier, langste"
Care este cel mai lung fluviu?,ro,"fluviu, cel mai lung"
Does Breaking Bad have more episodes than Game of Thrones?,en,"Breaking Bad, episodes, more than, Game of Thrones"
Hat Breaking Bad mehr Episoden als Game of Thrones?,de,"Breaking Bad, Episoden, mehr als, Game of Thrones"
¿Tiene Breaking Bad más episodios que Game of Thrones?,es,"Breaking Bad, episodios, más que, Game of Thrones"
Breaking Bad ha più episodi di Game of Thrones?,it,"Breaking Bad, eposido, più di, Game of Thrones"
A Breaking Bad plus d'épisodes que Game of Thrones?,fr,"Breaking Bad, épisodes plus que, Game of Thrones"
Heeft Breaking Bad meer afleveringen dan Game of Thrones?,nl,"Breaking Bad, afleveringen, meer dan, Game of Thrones"
Are Breaking Bad mai multe episoade decât Game of Thrones?,ro,"Breaking Bad, episoade, mai multe decât, Game of Thrones"
Give me all cars that are produced in Germany.,en,"car, produce, Germany"
"Gib mir alle Autos, die in Deutschland hergestellt werden.",de,"Auto, herstellen, Deutschland"
Dame todos los coches producidos en Alemania.,es,"coches, producidos, Alemania"
Dammi tutte le automobili che sono prodotte in Germania.,it,"automobile, produrre, Germania"
Donne-moi toutes les voitures qui sont produites en Allemagne.,fr,"voiture, produites, Allemagne"
Geef alle auto's die in Duitsland gemaakt worden.,nl,"auto, gemaakt, Duitsland"
Dă-mi toate mașinile care sunt produse în Germania.,ro,"mașină, produse, Germania"
What were the main discoveries of the Mars rover Curiosity?,en,"Mars rover Curiosity, main discoveries"
Was waren die wichtigsten Entdeckungen des Marsrovers Curiosity?,de,"Marsrover Curiosity, wichtigste Entdeckungen"
¿Cuáles fueron los principales descubrimientos de Mars rover Curiosity?,es,"Mars rover Curiosity, principales descubrimientos"
Quali sono state le scoperte piu' importanti del Mars rover Curiosity?,it,"Mars rover Curiosity, scoperte piu' importanti"
Quelles sont les découvertes les plus importantes du Mars Rover Curiosity?,fr,"Mars Rover Curiosity, découvertes importantes"
Wat zijn de meest belangrijke ontdekkingen van de Mars rover Curiosity?,nl,"Mars rover Curiosity, meest belangrijke ontdekkingen"
Care au fost descoperirile principale ale Mars rover Curiosity?,ro,"Mars rover Curiosity, descoperiri principale"
Give me all people that were born in Vienna and died in Berlin.,en,"people, born, Vienna, die, Berlin"
"Gib mir alle Personen, die in Wien geboren wurden und in Berlin gestorben sind.",de,"Person, geboren, Wien, gestorben, Berlin"
Dame todas las personas que hayan nacido en Viena y hayan muerto en Berlin.,es,"personas, nacidas en Viena, muertas en Berlin"
Dammi tutte le persone che sono nate a Vienna e morte a Berlino.,it,"persona, nata, Vienna, morta, Berlino"
Donne-moi toutes les personnes qui sont nées à Vienne et mortes à Berlin.,fr,"personnes, nées, Vienne, mortes, Berlin"
Noem alle personen die geboren zijn in Wenen en gestorven zijn in Berlijn.,nl,"persoon, geboren, Wenen, gestorven, Berlijn"
Dă-mi toți oamenii care s-au născut în Viena și au murit în Berlin.,ro,"oameni, născut, Viena, murit, Berlin"
Is proinsulin a protein?,en,"proinsulin, protein"
Ist Proinsulin ein Protein?,de,"Proinsulin, Protein"
¿La proinsulina es una proteina?,es,"proinsulina, protein"
La proinsulina è una proteina?,it,"proinsulina, proteina"
La pro-insuline est-elle une protéine?,fr,"pro-insuline, protéine"
Is proinsuline een proteïne?,nl,"proinsuline, proteïne"
Este proinsulina o proteină?,ro,"proinsulină, proteină"
How tall is Michael Jordan?,en,"tall, Michael Jordan"
Wie groß ist Michael Jordan?,de,"groß, Michael Jordan"
¿Qué altura tiene Michael Jordan?,es,"altura, Michael Jordan"
Quanto è alto Michael Jordan?,it,"altezza, Michael Jordan"
Quelle est la taille de Michael Jordan?,fr,"taille, Michael Jordan"
Hoe lang is Michael Jordan?,nl,"lang, Michael Jordan"
Ce înățime are Michael Jordan?,ro,"înălțime, Michael Jordan"
What is the capital of Canada?,en,"capital, Canada"
Was ist die Hauptstadt von Kanada?,de,"Hauptstadt, Kanada"
¿Cuál es la capital de Canadá?,es,"capital, Canadá"
Qual è la capitale del Canada?,it,"capitale, Canada"
Quelle est la capitale du Canada?,fr,"capitale, Canada"
Wat is de hoofdstad van Canada?,nl,"hoofdstad, Canada"
Care este capitala Canadei?,ro,"capitală, Canada"
Who is the governor of Wyoming?,en,"governor, Wyoming"
Wer ist der Gouverneur von Wyoming?,de,"Gouverneur, Wyoming"
¿Quién es el gobernador de Wyoming?,es,"gobernador, Wyoming"
Chi è il governatore del Wyoming?,it,"governatore, Wyoming"
Qui est le gouverneur du Wyoming?,fr,"gouverneur, Wyoming"
Wie is de gouverneur van Wyoming?,nl,"gouverneur, Wyoming"
Cine este guvernatorul din Wyoming?,ro,"guvernator, Wyoming"
Do Prince Harry and Prince William have the same parents?,en,"Prince Harry, Prince William, same, parents"
Haben Prinz Harry und Prinz William dieselben Eltern?,de,"Prinz Harry, Prinz William, selbe Eltern"
¿Tienen el príncipe Harry y el prínciple William la misma madre?,es,"príncipe Harry, príncipe William, la misma madre"
Il principe Harry e il principe William hanno gli stessi genitoris?,it,"principe Harry, principe William, stessi genitori"
Ont les princes Harry et William la même mère?,fr,"prince Harry, Prince William, même mère"
Hebben prins Harry en prins William dezelfde ouders?,nl,"prins Harry, prins William, dezelfde, ouders"
Prințul Harry și Prințul William au aceiași părinți?,ro,"Prințul Harry, Prințul William, aceiași, părinți"
Who was the father of Queen Elizabeth II?,en,"father, Queen Elizabeth II"
Wer war der Vater von Königin Elizabeth II?,de,"Vater, Königin Elizabeth II"
¿Quién fue el padre de la reina Isabel II?,es,"padre, reina Isabel II"
Chi fu il padre della regina Elisabetta II?,it,"padre, regina Elisabetta II"
Qui est le père de la reine Élisabeth II?,fr,"père, Élisabeth II"
Wie was de vader van koningin Elizabeth II?,nl,"koningin Elizabeth II, vader"
Cine a fost tatăl reginei Elisabeta a II-a?,ro,"tată, regina Elisabeta a II-a"
Which U.S. state has been admitted latest?,en,"U.S. state, admit, last"
Welcher US-Bundesstaat wurde zuletzt aufgenommen?,de,"US-Bundesstaat, aufnehmen, zuletzt"
¿Qué estado americano fué el último en ser admitido?,es,"estado americano, admitido, último"
Quale stato degli Stati Uniti è stato ammesso per ultimo?,it,"stato degli Stati Uniti, ammettere, ultimo"
Quel état américan fut le dernier à être admis?,fr,"état américain, admis, dernier"
Welke staat van de Verenigde Staten is als laatste toegetreden?,nl,"staat van de Verenigde Staten, toetreding"
Care stat american a fost recunoscut ultimul?,ro,"stat american, recunoscut, ultimul"
How many languages are spoken in Turkmenistan?,en,"languages, Turkmenistan"
Wieviele Sprachen werden in Turkmenistan gesprochen?,de,"Sprachen, Turkmenistan"
¿Cuántos idiomas se hablan en Turkmenistán?,es,"idiomas, Turkmenistán"
Quante lingue sono parlate in Turkmenistan?,it,"lingue, Turkmenistan"
Combien de langues sont parlées au Turkménistan?,fr,"langues, Turkménistan"
Hoeveel talen worden er gesproken in Turkmenistan?,nl,"talen, Turkmenistan"
Câte limbi sunt vorbite în Turkmenistan?,ro,"limbi, Turkmenistan"
Sean Parnell is the governor of which U.S. state?,en,"U.S. state, governor, Sean Parnell"
Von welchem US-Bundesstaat ist Sean Parnell der Gouverneur?,de,"US-Bundesstaat, Gouverneur, Sean Parnell"
¿De qué estado americano es Sean Parnell el gobernador?,es,"estado americano, gobernador, Sean Parnell"
Di quale stato americano Sean Parnell è governatore?,it,"stato degli Stati Uniti, governatore, Sean Parnell"
Quel est l'état américain dont Sean Parnelle st le gouverneur?,fr,"état américain, Sean Parnell, gouverneur"
Sean Parnell is de gouverneur van welke staat van de Verenigde Staten?,nl,"staat van de Verenigde Staten, gouverneur, Sean Parnell"
Sean Parnell este guvernatorul cărui stat american?,ro,"stat american, guvernator, Sean Parnell"
Give me all movies directed by Francis Ford Coppola.,en,"movie, direct, Francis Ford Coppola"
"Gib mir alle Filme, bei denen Francis Ford Coppola Regie geführt hat.",de,"Film, Regie, Francis Ford Coppola"
Dame todas las películas que haya dirigido Francis Ford Coppola.,es,"película, director, Francis Ford Coppola"
Dammi tutti i film diretti da Francis Ford Coppola.,it,"film, dirigere, Francis Ford Coppola"
Donnes-moi tous les films dont Francis réalisés par Francis Ford Coppola.,fr,"film, directeur, Francis Ford Coppola"
Geef alle films die werden geregisseerd door Francis Ford Coppola.,nl,"films, regisseur, Francis Ford Coppola"
Dă-mi toate filmele regizate de Francis Ford Coppola.,ro,"film, regizat, Francis Ford Coppola"
Give me all actors starring in movies directed by William Shatner.,en,"actor, starring, movie, direct, William Shatner"
"Gib mir alle Schauspieler von Filmen, in denen William Shatner Regie geführt hat.",de,"Schauspieler, Film, Regie, William Shatner"
Dame todos los actores de películas dirigidas por William Shatner.,es,"actor, película, director, William Shatner"
Dammi tutti gli attori che recitano in film diretti da William Shatner.,it,"attore, recitare, film, diretto, William Shatner"
Donnes-moi tous les acteurs qui ont joué dans des films réalisés par Williams Shatner.,fr,"acteur, film, réalisé, William Shatner"
Geef alle acteurs van films waar William Shatner de regie van voerde.,nl,"acteur, film, regisseur, William Shatner"
Dă-mi toți actorii care joacă roluri principale în filme regizate de William Shatner.,ro,"actor, rol principal, film, regiza, William Shatner"
Are tree frogs a type of amphibian?,en,"tree frog, amphibian"
Sind Laubfrösche Amphibien?,de,"Laubfrosch, Amphibie"
¿Son las ranas verdes un tipo de anfibio?,es,"rana verde, anfibio"
Le rane verdi sono un tipo di anfibio?,it,"rana verde, anfibio"
Sont les grenouilles arboricoles un type d'amphibiens?,fr,"grenouilles arboricoles, amphibien"
Zijn boomkikkers een soort amfibie?,nl,"boomkikker, amfibie"
Sunt broaștele de copac un tip de amfibieni?,ro,"broască de copac, amfibian"
What is the birth name of Angela Merkel?,en,"birth name, Angela Merkel"
Was ist der Geburtsname von Angela Merkel?,de,"Geburtsname, Angela Merkel"
¿Cuál es el nombre de soltera de Angela Merkel?,es,"nombre de soltera, Angela Merkel"
Qual è il nome da nubile di Angela Merkel?,it,"nome da nubile, Angela Merkel"
Quel est le nom de jeune fille d'Angela Merkel?,fr,"nom de jeune fille, Angela Merkel"
Wat is de meisjesnaam van Angela Merkel?,nl,"meisjesnaam, Angela Merkel"
Care este numele de domnișoară al Angelei Merkel?,ro,"nume de domnișoară, Angela Merkel"
Give me all Methodist politicians.,en,"politician, Methodist"
"Gib mir alle Politiker, die Methodisten sind.",de,"Politiker, Methodist"
Dame todos los políticos que sean metodístas.,es,"políticos, metodístas"
Dammi tutti i politici metodisti.,it,"politici, metodista"
Donnes-moi tous les politiciens qui sont méthodistes.,fr,"politiciens, méthodistes"
Geef alle politici die methodist zijn.,nl,"politici, methodist"
Dă-mi toți politicienii metodiști,ro,"politician, metodist"
How often did Jane Fonda marry?,en,"Jane Fonda, marry, how often"
Wie oft hat Jane Fonda geheiratet?,de,"Jane Fonda, heiraten, wie oft"
¿Cuántas veces ha estado casada Jane Fonda?,es,"Jane Fonda, casada, cuántas veces"
Quante volte si è sposata Jane Fonda?,it,"Jane Fonda, sposata, quante volte"
Combien de fois s'est mariée Jane Fonda?,fr,"Jane Fonda, marriages, nombre de fois"
Hoe vaak is Jane Fonda getrouwd?,nl,"Jane Fonda, getrouwd, hoe vaak"
Cât de des s-a măritat Jane Fonda?,ro,"Jane Fonda, mărita, cât de des"
Give me all Australian nonprofit organizations.,en,"nonprofit organization, Australia"
Gib mir alle gemeinnützigen Organisationen in Australien.,de,"gemeinnützige Organisation, Australien"
Dame todas las organizaciones benéficas de Australia.,es,"organizaciones benéficas, Australia"
Dammi tutte le organizzazioni australiane non a scopo di lucro.,it,"organizzazioni non a scopo di lucro, Australia"
Donnes-moi toutes les associations australiennes à but non lucratif.,fr,"Association à but non lucratif, Australie"
Noem alle Australische organisaties zonder winstoogmerk.,nl,"organisatie zonder winstoogmerk, Australië"
Dă-mi toate organizațiile non-profit din Australia.,ro,"organizație non-profit, Australia"
In which military conflicts did Lawrence of Arabia participate?,en,"Lawrence of Arabia, military conflict"
An welchen militärischen Auseinandersetzungen war Lawrence von Arabien beteiligt?,de,"Lawrence von Arabien, militärische Auseinandersetzung"
¿En qué conflictos militares participó Lawrence de Arabia?,es,"Lawrence de Arabia, conflicto militar"
A quali conflitti militari ha partecipato Lawrence d'Arabia?,it,"Lawrence d'Arabia, conflitto militare"
Dans quels conflits militaires a participé Lawrence d'Arabie?,fr,"Lawrence d'Arabie, conflits militaires"
Bij welke militaire conflicten was Lawrence of Arabia betrokken?,nl,"militair conflict, Lawrence of Arabia"
În care conflicte militare a participat Lawrence al Arabiei?,ro,"Lawrence al Arabiei, conflict militar"
Who developed Minecraft?,en,"Minecraft, develop"
Wer hat Minecraft entwickelt?,de,"Minecraft, Entwickler"
¿Quién desarrolló Minecraft?,es,"Minecraft, desarrolló"
Chi ha sviluppato Minecraft?,it,"Minecraft, sviluppare"
Qui a dévelopé Minecraft?,fr,"dévelopé, Minecraft"
Wie ontwikkelde Minecraft?,nl,"Minecraft, ontwikkeld"
Cine a dezvoltat Minecraft?,ro,"Minecraft, dezvolta"
What is the melting point of copper?,en,"copper, melting point"
Wo liegt der Schmelzpunkt von Kupfer?,de,"Kupfer, Schmelzpunkt"
¿Cúal es el punto de fusión del cobre?,es,"cobre, punto de fusión"
Qual è il punto di fusione del rame?,it,"rame, punto di fusione"
Quel est le point de fusion du cuivre?,fr,"point de fusion, cuivre"
Wat is het smeltpunt van koper?,nl,"smeltpunt, koper"
Care este punctul de topire al cuprului?,ro,"cupru, punct de topire"
Give me all sister cities of Brno.,en,"Brno, sister city"
Gib mir alle Partnerstädte von Brno.,de,"Brno, Partnerstadt"
Dame las ciudades hermanadas con Brno.,es,"ciudades hermanadas, Brno"
Dammi tutte le città gemellate con Brno.,it,"Brno, città gemellata"
Quels sont les villes jumelles de Brno?,fr,"villes jumelles, Brno"
Geef alle zustersteden van Brno.,nl,"zusterstad, Brno"
Dă-mi toate orașele înfrățite cu Brno.,ro,"Brno, oraș înfrățit"
How many inhabitants does Maribor have?,en,"Maribor, inhabitants"
Wieviele Einwohner hat Maribor?,de,"Maribor, Einwohner"
¿Cuántos habitantes tiene Maribor?,es,"Maribor, habitantes"
Quanti abitanti ha Maribor?,it,"Maribor, abitanti"
Combien d'habitants a Maribor?,fr,"nombre d'habitants, Maribor"
Hoeveel inwoners heeft Maribor?,nl,"Maribor, inwoners"
Câți locuitori are Maribor?,ro,"Maribor, locuitori"
Give me all companies in Munich.,en,"company, Munich"
Gib mir alle Unternehmen in München.,de,"Unternehmen, München"
Dame todas las empresas de Munich?,es,"empresas, Munich"
Dammi tutte le aziende di Monaco.,it,"aziende, Monaco"
Donnes moi toutes les entreprises de Munich.,fr,"entreprises, Munich"
Noem alle bedrijven in München.,nl,"München, bedrijf"
Dă-mi toate companiile din München,ro,"companie, München"
How tall is Claudia Schiffer?,en,"Claudia Schiffer, tall"
Wie groß ist Claudia Schiffer?,de,"Claudia Schiffer, groß"
¿Cómo de alta es Claudia Schiffer?,es,"Claudia Schiffer, altura"
Quanto è alta Claudia Schiffer?,it,"Claudia Schiffer, altezza"
Quelle est la taille de Claudia Schiffer?,fr,"taille, Claudia Schiffer"
Hoe lang is Claudia Schiffer?,nl,"lengte, Claudia Schiffer"
Ce înălțime are Claudia Schiffer?,ro,"Claudia Schiffer, înălțime"
List all games by GMT.,en,"game, GMT"
Liste alle Spiele von GMT auf.,de,"Spiel, GMT"
Dame todos los juegos de GMT.,es,"juegos, GMT"
Elenca tutti i giochi di GMT.,it,"gioco, GMT"
Donne-moi tous les jeux de GMT.,fr,"jeux, GMT"
Noem alle spelen van GMT.,nl,"spel, GMT"
Enumeră toate jocurile de GMT,ro,"joc, GMT"
Who founded Intel?,en,"Intel, founded"
Wer hat Intel gegründet?,de,"Intel, gründen"
¿Quién fundó Intel?,es,"Intel, fundación"
Chi ha fondato Intel?,it,"Intel, fondatore"
Qui a fondé Intel?,fr,"fondé, Intel"
Wie is de oprichter van Intel?,nl,"oprichter, Intel"
Cine a fondat Intel?,ro,"Intel, fondat"
Who is the husband of Amanda Palmer?,en,"Amanda Palmer, husband"
Wer ist der Mann von Amanda Palmer?,de,"Amanda Palmer, Mann"
¿Quién es el marido de Amanda Palmer?,es,"Amanda Palmer, marido"
Chi è il marito di Amanda Palmer?,it,"Amanda Palmer, marito"
Qui est l'épou d'Amanda Palmer?,fr,"épou, Amanda Palmer"
