questions,lang,keywords
¿En qué estados federales de Alemania gobierna la SPD?,es,"estado federal, Alemania, gobierna, SPD"
In quali stati federati della Germania governa il Partito Socialista Democratico?,it,"stato federato, Germania, governo, Partito Socialista Democratico"
Quels sont les états d'Allemagne gouvernés par le parti social-démocrate d'Allemagne?,fr,"états d'Allemagne, parti social-démocrate d'Allemagne, gouvernés"
In welke Duitse deelstaten is de SPD aan de macht?,nl,"Duitse deelstaat, SPD, aan de macht"
How tall is Claudia Schiffer?,en,"Claudia Schiffer, tall"
Wie groß ist Claudia Schiffer?,de,"Claudia Schiffer, groß"
¿Cómo de alta es Claudia Schiffer?,es,"Claudia Schiffer, altura"
Quanto è alta Claudia Schiffer?,it,"Claudia Schiffer, altezza"
Quelle est la taille de Claudia Schiffer?,fr,"taille, Claudia Schiffer"
Hoe lang is Claudia Schiffer?,nl,"lengte, Claudia Schiffer"
Which television shows were created by Walt Disney?,en,"television show, create, Walt Disney"
Welche Fernsehserien hat Walt Disney entworfen?,de,"Fernsehserie, entwerfen, Walt Disney"
¿Qué series televisivas ideó Walt Disney?,es,"serie televisica, ideó, Walt Disney"
Quali serie televisive sono state create dalla Walt Disney?,it,"serie televisiva, ideata, Walt Disney?"
Quelles séries télevisées ont été créées par Walt Disney?,fr,"séries télevisées, créées, Walt Disney"
Welke televisieseries werden bedacht door Walt Disney?,nl,"televisieserie, bedacht, Walt Disney"
What is the highest place of Karakoram?,en,"Karakoram, highest place"
Was ist die höhchste Stelle des Karakorum?,de,"Karakorum, höchste Stelle"
¿Cuál es el punto más alto del Karakorum?,es,"Karakorum, punto más alto"
Qual è il punto più alto del Karakoram?,it,"Karakoram, punto più alto"
Quel est l'endroit le plus haut du Karakoram?,fr,"Karakoram, endroit le plus haut"
Wat is het hoogste punt van de Karakoram?,nl,"hoogste punt, Karakoram"
Give me all cities in New Jersey with more than 100000 inhabitants.,en,"New Jersey, city, inhabitants, more than 100000"
"Gib mir alle Städte in New Jersey, die mehr als 100000 Einwohner haben.",de,"New Jersey, Stadt, Einwohner, mehr als 100000"
Dame todas las cuidades en New Jersey que tengan más de 100000 habitantes.,es,"New Jersey, ciudad, habitantes, más de 100000"
Dammi tutte le città del New Jersey con più di 100000 abitanti.,it,"New Jersey, città, abitanti, più di 100000"
Donnes-moi toutes les villes du New Jersey avec plus de 100000 habitants.,fr,"New Jersey, villes, habitants, plus de 100000"
Geef alle steden in New Jersey met meer dan 100000 inwoners.,nl,"New Jersey, stad, inwoners, meer dan 100000"
Which actors were born in Germany?,en,"actor, born, Germany"
Welche Schauspieler wurden in Deutschland geboren?,de,"Schauspieler, geboren, Deutschland"
¿Qué actores nacieron en Alemania?,es,"Actores, nacidos, Alemania"
Quali attori sono nati in Germania?,it,"attore, nato, Germania"
Quels acteurs sont nés en Allemagne?,fr,"acteurs, nés, Allemagne"
Welke acteurs zijn geboren in Duitsland?,nl,"acteur, geboren, Duitsland"
Give me all people with first name Jimmy.,en,"person, first name, Jimmy"
"Gib mir alle Personen, die den Vornamen Jimmy haben.",de,"Person, Vorname, Jimmy"
Dame todas las personas con el nombre propio Jimmy.,es,"personas, nombre propio, Jimmy"
Dammi tutte le persone il cui nome è Jimmy.,it,"persone, nome, Jimmy"
Donnes-moi toutes les personnes dont le prénom est Jimmy.,fr,"personnes, prénom, Jimmy"
Noem alle personen met de voornaam Jimmy.,nl,"persoon, voornaam, Jimmy"
Which mountain is the highest after the Annapurna?,en,"mountain, highest after, Annapurna"
Was ist der höchste Berg nach dem Annapurna?,de,"Berg, höchster nach, Annapurna"
¿Cuál es la montaña más alta después del Annapurna?,es,"montaña, más alta después de, Annapurna"
Qual è la montagna più alta dopo l'Annapurna?,it,"montagna, più alta dopo, Annapurna"
Quelle est la montagne la plus haute après l'Annapurna?,fr,"montagne, la plus haute, Annapurna"
Welke berg is na de Annapurna de hoogste berg?,nl,"berg, hoogste na, Annapurna"
How often was Michael Jordan divorced?,en,"Michael Jordan, divorced"
Wie oft hat sich Michael Jordan scheiden lassen?,de,"Michael Jordan, scheiden"
¿Cuántas veces se ha divorciado Michael Jordan?,es,"Michael Jordan, divorcio"
Quante volte ha divorziato Michael Jordan?,it,"Michael Jordan, divorziato"
Combien de fois a divorcé Michael Jordan?,fr,"Michael Jordan, divorcé"
Hoe vaak is Michael Jackson gescheiden?,nl,"gescheiden, Michael Jackson"
Who designed the Brooklyn Bridge?,en,"Brooklyn Bridge, design"
Wer hat die Brooklyn Bridge entworfen?,de,"Brooklyn Bridge, entwerfen"
¿Quién diseñó la Brooklyn Bridge?,es,"diseñador, Brooklyn Bridge"
Chi ha progettato il ponte di Brooklyn?,it,"ponte di Brooklyn, progettare"
Qui a conçu le pont de Brooklyn?,fr,"pont de Brooklyn, conçu"
Wie ontwierp de Brooklyn Bridge?,nl,"ontwerp, Brooklyn Bridge"
Which classis do tree frogs belong to?,en,"tree frog, classis"
Welcher Klasse gehören Laubfrösche an?,de,"Laubfrosch, Klasse"
¿A qué especie pertenece la rana verde?,es,"rana verde, especie"
A quale specie appartiene la rana verde?,it,"rana verde, specie"
A quelle classe apartiennent les grenouilles arboricoles?,fr,"grenouilles arboricoles, classe"
Tot welke klasse behoren boomkikkers?,nl,"klasse, boomkikker"
Was Natalie Portman born in the United States?,en,"Natalie Portman, born, United States"
Wurde Natalie Portman in den Vereinigten Staaten geboren?,de,"Natalie Portman, geboren, Vereinigte Staaten"
¿Nació Natalie Portman en los estados unidos de américa?,es,Natalie Portman
"Natalie Portman, nata, Stati Uniti d'America",it,"Natalie Portman, nata, Stati Uniti d'America"
Natalie Portman est-elle née aux Etats-Unis?,fr,"Natalie Portman, née, Etats-Unis"
Werd Natalie Portman geboren in de Verenigde Staten?,nl,"Natalie Portman, geboren, Verenigde Staten"
Which countries have more than two official languages?,en,"country, official language, more than two"
Welche Länder haben mehr als zwei Amtssprachen?,de,"Land, Amtssprache, mehr als zwei"
¿Qué países tienes más de dos lenguas oficiales?,es,"país, lengua oficial, más de dos"
Quali stati hanno più di due lingue ufficiali?,it,"stato, lingua ufficiale, più di due"
Quels pays ont plus de deux langues officielles?,fr,"pays, langues officielles, plus de deux"
Welke landen hebben meer dan twee officiële talen?,nl,"land, officiële taal, meer dan twee"
When did Latvia join the EU?,en,"Latvia, join, EU"
Wann ist Lettland der EU beigetreten?,de,"Lettland, beitreten, EU"
¿Cuándo ingresó Letonia a la unión europea?,es,"Letonia, ingreso, unión europea"
Quando la Lettonia è entrata nell'Unione Europea?,it,"Lettonia, entrare, Unione Europea"
Quand est la Lettonie devenue membre de l'Union européene?,fr,"Lettonie, membre, Union européene"
Wanneer trad Letland toe tot de EU?,nl,"Letland, toetreden, EU"
Who created Goofy?,en,"created, Goofy"
Wer hat Goofy erfunden?,de,"erfinden, Goofy"
¿Quién es el creador de Goofy?,es,"creador, Goofy"
Chi è il creatore di Goofy?,it,"creatore, Goofy"
Qui est le créateur de Goofy?,fr,"Goofy, créateur"
Wie bedacht Goofy?,nl,"bedenker, Goofy"
Give me all soccer clubs in Spain.,en,"Spain, soccer club"
Gib mir alle Fußballvereine in Spanien.,de,"Fußballverein, Spanien"
Dame todos los club de fútbol de España.,es,"España, club de fútbol"
Dammi tutti i club calcistici della Spagna,it,"Spagna, club calcistico"
Donnes-moi tous les clubs de football d'Espagne.,fr,"Espagne, clubs de football"
Noem alle Spaanse voetbalclubs.,nl,"Spanje, voetbalclub"
Who is the mayor of New York City?,en,"New York City, mayor"
Wer ist der Bürgermeister von New York City?,de,"New York City, Bürgermeister"
¿Quién es el alcalde de la cuidad de Nueva York?,es,"cuidad de Nueva York, alcalde"
Chi è il sindaco della città di New York?,it,"città di New York, sindaco"
Qui est le maire de New York City?,fr,"maire, New York City"
Wie is de burgemeester van New York?,nl,"burgemeester, New York"
Which organizations were founded in 1950?,en,"organization, founded, 1950"
Welche Unternehmen wurden 1950 gegründet?,de,"Unternehmen, gründen, 1950"
¿Qué empresas fueron fundadas en 1950?,es,"empresas, fundadas, 1950"
Quali aziende sono state fondate nel 1950?,it,"azienda, fondata, 1950"
Quels organisations ont été fondées en 1950?,fr,"organisations, fondées, 1950"
Welke organisaties werden opgericht in 1950?,nl,"organisatie, opgericht, 1950"
Which presidents were born in 1945?,en,"president, born, 1945"
Welche Präsidenten wurden 1945 geboren?,de,"Präsident, geboren, 1945"
¿Qué presidentes nacieron en 1945?,es,presidentes nacidos 1945
Quali presidenti sono nati nel 1945?,it,"presidente, nato, 1945"
Quels présidents sont nés en 1945?,fr,"présidents, nés, 1945"
Welke presidenten werden geboren in 1945?,nl,"president, geboren, 1945"
Through which countries does the Yenisei river flow?,en,"Yenisei river, flow through, country"
Durch welche Länder fließt der Yenisei?,de,"Yenisei, fließen, Land"
¿Por qué países fluye el río Yenisei?,es,"países, fluye, río Yenisei"
Attraverso quali stati scorre il fiume Yenisei?,it,"fiume Yenisei, scorrere attraverso, stato"
Quels sont les pays traversés par l'Ienisseï?,fr,"Ienisseï, pays traversés"
Door welke landen stroomt de Jenisej?,nl,"Jenisej, land, stroomt door"
Which museum exhibits The Scream by Munch?,en,"museum, Scream, Munch"
In welchem Museum ist Der Schrei von Munch ausgestellt?,de,"Museum, Schrei, Munch"
¿En qué museo está expuesto el Grito de Munch?,es,"museo, El Grito, Munch"
Quale museo è esposto l'Urlo di Munch?,it,"museo, l'Urlo, Munch"
Dans quel musée est exposé Le Cri de Munch?,fr,"musée, le Cri, Munch"
In welk museum hangt De Schreeuw van Munch?,nl,"museum, De Schreeuw, Munch"
Which budget did the first movie of Zdenek Sverak have?,en,"Zdenek Sverak, movie, first, budget"
Welches Budget hatte der erste Film von Zdenek Sverak?,de,"Zdenek Sverak, Film, erster, Budget"
¿Cuál fué el presupuesto de la primera película de Zdenek Sverak?,es,
Che budget ebbe il primo film di Zdenek Sverak?,it,"Zdenek Sverak, film, primo, budget"
Quel était le budget du premier film de Zdenek Sverak?,fr,"budget, premier film, Zdenek Sverak"
Welk budget had de eerste film van Zdenek Sverak,nl,"budget, eerste film, Zdenek Sverak"
Give me the capitals of all countries in Africa.,en,"Africa, country, capital"
Gib mir die Haupstädte von allen Ländern in Afrika.,de,"Afrika, Land, Hauptstadt"
Dame las capitales de todos los países africanos.,es,"países, africanos, capital"
Dammi le capitali di tutti gli stati dell'Africa.,it,"Africa, stato, capitale"
Donnes-moi la capitale de chaque pays d'Afrique.,fr,"capitale, pays, Afrique"
Noem de hoofdsteden van alle landen in Afrika.,nl,"Africa, land, hoof"
Which states border Illinois?,en,"state, border, Illinois"
Welche Staaten grenzen an Illinois?,de,"Staat, angrenzen, Illinois"
¿Qué estados tienen frontera con Illinois?,es,"estado, frontera, Illinois"
Con quali stati confina l'Illinois?,it,"stati, confine, Illinois"
Quels sont les états voisins de l'Illinois?,fr,"états voisins, Illinois"
Welke staten grenzen aan Illinois?,nl,"staat, grenzen aan, Illinois"
Which countries have places with more than two caves?,en,"country, place, cave, more than two"
In welchen Ländern gibt es Orte mit mehr als zwei Höhlen?,de,"Land, Ort, Höhle, mehr als zwei"
¿Qué países tienen lugares con más de dos cuevas?,es,"país, lugar, cuevas, más de dos"
Quali nazioni hanno luoghi con più di due grotte?,it,"nazione, luogo, grotta, più di due"
Quels pays ont des lieux avec plus de deux grottes?,fr,"pays, lieux, grottes, plus de deux"
Welke landen hebben plaatsen met meer dan twee grotten?,nl,"land, plaatsen, grotten, meer dan twee"
Which European countries have a constitutional monarchy?,en,"European country, constitutional monarchy"
Welche europäischen Länder haben eine konstitutionelle Monarchie?,de,"euopäisches Land, konstitutionelle Monarchie"
¿Qué países europeos tienen una monarquía constitucional?,es,"países europeos, monarquía constitucional"
Quali nazioni europee hanno una monarchia costituzionale?,it,"nazione europea, monarchia costituzionale"
Quels pays d'Europe ont une monarchie constitutionnelle?,fr,"monarchie constitutionnelle, pays, Europe"
Welke Europese landen zijn een constitutionele monarchie?,nl,"Europees land, constitutionele monarchie"
What is the highest mountain in Australia?,en,"Australia, highest mountain"
Was ist der höchste Berg in Australien?,de,"Australien, höchster Berg"
¿Cuál es la montaña más alta de Australia?,es,"Australia, montaña más alta"
Qual è la montagna più alta d'Australia?,it,"Australia, montagna più alta"
Quelle est la plus haute montagne d'Australie?,fr,"plus haute montagne, Australie"
Wat is de hoogste berg van Australië?,nl,"Australië, hoogste berg"
Which capitals in Europe were host cities of the summer olympic games?,en,"capital, Europe, host city, summer olympic games"
In welchen europäischen Hauptstädten fanden olympische Sommerspiele statt?,de,"europäisch, Hauptstadt, stattfinden, olympische Sommerspiele"
¿En qué capitales europeas tuvieron lugar los juegos olímpicos de verano?,es,"capital europea, juegos olímpicos de verano"
Quali capitali europee hanno ospitato i giochi olimpici estivi?,it,"capitale, Europa, ospitare, giochi olimpici estivi"
Quelles capitales européenes ont été hôtes de jeux olympiques d'été?,fr,"capitales européenes, hôtes, jeux olympiques d'été"
In welke Europese hoofdsteden waren de Olympische Zomerspelen?,nl,"Europese hoofdstad, plaatvinden, Olympische Zomerspelen"
Who was the wife of U.S. president Lincoln?,en,"U.S. president, Lincoln, wife"
Wer war die Frau von US-Präsident Lincoln?,de,"US-Präsident, Lincoln, Frau"
¿Quién fué la mujer del presidente americano Lincoln?,es,"presidente Americano, Lincoln, mujer"
Chi era la moglie del presidente degli Stati Uniti Lincoln?,it,"presidente degli Stati Uniti, Lincoln, moglie"
Qui était l'épouse du président américain Lincoln?,fr,"épouse, président américain Lincoln"
Wie was de vrouw van de Amerikaanse president Lincoln?,nl,"vrouw, president van America, Lincoln"
"Which airports are located in California, USA?",en,"airport, located, California, USA"
Welche Flughäfen gibt es in Kalifornien?,de,"Flughafen, Kalifornien"
¿Cuántos aeropuertos hay en California?,es,"aeropuertos, california"
"Quali aeroporti sono situati in California, Stati Uniti?",it,"aeroporto, situato, California, Stati Uniti"
Quels aéroports se trouvent en Californie?,fr,"aéroports, Californie"
Welke vliegvelden liggen in Californië?,nl,"vliegveld, Californië"
Is Christian Bale starring in Batman Begins?,en,"Christian Bale, starring, Batman Begins"
Spielt Christian Bale in Batman Begins mit?,de,"Christian Bale, mitspielen, Batman Begins"
¿Actúa Christian Bale en Batman Begins?,es,"Christian Bale, actúa, Batman Begins"
Christian Bale ha recitato in Batman Begins?,it,"Christian Bale, recitare, Batman Begins"
Christian Bale joue-t-il dans Batman Begins?,fr,"Christian Bale, joue, Batman Begins"
Speelt Christian Bale in Batman Begins?,nl,"Christian Bale, speelt in, Batman Begins"
In which programming language is GIMP written?,en,"GIMP, programming language"
In welcher Programmiersprache wurde GIMP geschrieben?,de,"GIMP, Programmiersprache"
¿En qué lenguaje de programación esta programado GIMP?,es,"GIMP, lenguaje de programación"
In quale linguaggio di programmazione è scritto GIMP?,it,"GIMP, linguaggio di programmazione"
En quel langage de programmation a été écrit GIMP?,fr,"langage de programmation, GIMP"
In welke programmeertaal is GIMP geschreven?,nl,"GIMP, programmeertaal"
In which country is the Limerick Lake?,en,"Limerick Lake, country"
In welchem Land befindet sich der Limerick Lake?,de,"Limerick Lake, Land"
¿En qué país se encuentra el lago Limerick?,es,"lago Limerick, país"
In quale stato si trova il lago Limerick?,it,"lago Limerick, stato"
Dans quel pays se trouve le lac Limerick?,fr,"pays, lac Limerick"
In welk land ligt Limerick Lake?,nl,"Limerick Lake, land"
Which monarchs of the United Kingdom were married to a German?,en,"United Kingdom, monarch, married, German"
Welche Monarchen des Vereinigten Königreichs waren mit jemand deutschem verheiratet?,de,"Vereinigtes Königreich, Monarch, verheiratet, deutsch"
¿Qué monárcas del reino unido estaban casados con una persona alemana?,es,"Reino Unido, monarcha, casado, alemán"
Quali monarchi del Regno Unito erano sposati a persone tedesche?,it,"Regno Unito, monarca, sposato, tedesco"
Quels monarques du Royaume-Uni ont épousé une personne allemande?,fr,"monarques, Royaume-Uni, épousé, allemand"
Welke monarchen van het Verenigd Koninkrijk waren getrouwd met een Duitser?,nl,"monarch, Verenigd Koninkrijk, getrouwd, Duitser"
Give me all female German chancellors.,en,"German chancellor, female"
Gib mir alle deutschen Kanzlerinnen.,de,"deutsch, Kanzlerin"
Dame todas las cancilleres alemanas.,es,"canciller alemásn, mujer"
Dammi tutte le cancelliere tedesche.,it,"cancelliere tedesco, donna"
Donnes-moi tous les chancelières allemandes.,fr,"chancelières, allemandes"
Geef me alle vrouwelijke Duitse bondskanseliers.,nl,"vrouwelijk, Duits, bondskanselier"
Give me all video games published by Mean Hamster Software.,en,"video game, publish, Mean Hamster Software"
Gib mir alle Videospiele von Mean Hamster Software.,de,"Videospiel, Mean Hamster Software"
Dame todos los videojuegos de Mean Hamster Software.,es,"videojuego, Mean Hamster Software"
Dammi tutti i videogiochi di Mean Hamster Software.,it,"videogioco, prodotto, Mean Hamster Software"
Donnes-moi tous les jeux vidéos publiés par Mean Hamster Software.,fr,"jeux vidéos, publiés, Mean Hamster Software"
Geef me alle videogames van Mean Hamster Software.,nl,"videogame, Mean Hamster Software"
Who produced films starring Natalie Portman?,en,"produce, film, starring, Natalie Portman"
"Wer produzierte Filme, in denen Natalie Portman mitspielt?",de,"produzieren, Film, mitspielen, Natalie Portman"
¿Quién ha producido películas en las que actua Natalie Portman?,es,"producente, perlículas, actua, Natalie Portman"
Chi ha prodotto i film in cui recita Natalie Portman?,it,"produttore, film, recita, Natalie Portman"
Qui a produit des films dans lesquels joue Natalie Portman?,fr,"produit, films, Natalie Portman"
Wie produceerde films waarin Natalie Portman speelde?,nl,"producent, film, Natalie Portman, speelt"
In which films did Julia Roberts as well as Richard Gere play?,en,"film, play, Julia Roberts, Richard Gere"
In welchen Filmen spielen sowohl Julia Roberts als auch Richard Gere mit?,de,"Film, mitspielen, Julia Roberts, Richard Gere"
¿En qué películas actúan Julia Roberts y Richard Gere?,es,"película, actores, Julia Roberts, Richard Gere"
In quali film recitano sia Julia Roberts che Richard Gere?,it,"film, recitare, Julia Roberts, Richard Gere"
Dans quels films jouent Julia Roberts et Richard Gere?,fr,"films, Julia Roberts, Richard Gere"
In welke films speelden zowel Julia Roberts als Richard Gere?,nl,"film, speel, Julia Roberts, Richard Gere"
How many films did Leonardo DiCaprio star in?,en,"film, star, Leonardo DiCaprio"
In wievielen Filmen hat Leonardo DiCaprio mitgespielt?,de,"Film, mitspielen, Leonardo DiCaprio"
¿En cuántas películas ha actuado Leonardo DiCaprio?,es,"películas, cuántas, actúa, Leonardo DiCaprio"
In quanti film ha recitato Leonardo DiCaprio?,it,"film, recitare, Leonardo DiCaprio"
Dans combien de films Leonard DiCaprio a-t-il joué?,fr,"combien, films, Leonard DiCaprio"
In hoeveel films speelde Leonardo DiCaprio?,nl,"film, speelt, Leonardo DiCaprio"
Give me all school types.,en,school type
Gib mir alle Schultypen.,de,Schultyp
Dame todos los tipos de escuela.,es,tipos de escuela
Dammi tutti i tipi di scuola.,it,tipo di scuola
Donnes-moi tous ley types d'écoles.,fr,types d'écoles
Noem alle schooltypes.,nl,schooltype
Give me the birthdays of all actors of the television show Charmed.,en,"television show, Charmed, actor, birthday"
Gib mir die Geburtstage von allen Darstellern der Fernsehserie Charmed.,de,"Fernsehserie, Charmed, Darsteller, Geburtstag"
Dame los cumpleaños de los actores de la serie de televisión Charmed.,es,"serie televisiva, Charmed, actores, cumpleaños"
Dammi le date dei compleanni di tutti gli attori della serie televisiva Charmed.,it,"serie televisiva, Charmed, attore, compleanno"
Donnes-moi les dates de naissance des acteurs de la série télévisée Charmed.,fr,"série télévisée, Charmed, acteurs, date de naissance"
Noem de verjaardag van alle acteurs uit de televisieserie Charmed.,nl,"verjaardag, acteur, televisieserie, Charmed"
In which city did John F. Kennedy die?,en,"city, John F. Kennedy, die"
In welcher Stadt ist John F. Kennedy gestorben?,de,"Stadt, John F. Kennedy, gestorben"
¿En qué ciudad murió John F. Kennedy?,es,"cuidad, John F. Kennedy, murió"
In quale città morì John F. Kennedy?,it,"città, John F. Kennedy, morto"
Dans quelle ville est mort John F. Kennedy?,fr,"ville, John F. Kennedy"
In welke stad kwam John F. Kennedy om het leven?,nl,"stad, John F. Kennedy, gestorven"
How many monarchical countries are there in Europe?,en,"Europe, monarchical country"
Wieviele Monarchien gibt es in Europa?,de,"Europa, Monarchie"
¿Cuántas monarquías existen en Europa?,es,"Europa, monarquía, país"
Quante monarchie ci sono in Europa?,it,"Europa, monarchia, nazione"
Combien de monarchies existent en Europe?,fr,"Europe, monarchies, combien"
Hoeveel monarchieën zijn er in Europa?,nl,"monarchie, Europa, hoeveel"
Give me all presidents of the United States.,en,"United States, president"
Gib mir alle Präsidenten der Vereinigten Staaten.,de,"Vereinigte Staaten, Präsident"
Dame todos los presidentes de los estados unidos de américa.,es,"estados unidos, presidente"
Dammi tutti i presidenti degli Stati Uniti.,it,"Stati Uniti, presidente"
Donnes-moi tous les présidents des Etats-Unis.,fr,"Etats-Unis, présidents"
Noem alle presidenten van de Verenigde Staten.,nl,"president, Verenigde Staten"
Who produced the most films?,en,"film, produced, most"
Wer hat die meisten Filme produziert?,de,"Film, produzieren, die meisten"
¿Quién ha producido más películas?,es,"películas, producido más"
Chi ha prodotto più film?,it,"film, prodotto, più"
Qui a produit le plus de films?,fr,"films, le plus de"
Wie produceerde de meeste films?,nl,"producent, films, de meeste"
Which languages are spoken in Estonia?,en,"language, spoken, Estonia"
Welche Sprachen werden in Estland gesprochen?,de,"Sprache, sprechen, Estland"
¿Qué idiomas se hablan en Estonia?,es,"idiomas, Estonia"
Quali lingue sono parlate in Estonia?,it,"lingua, Estonia"
Quelles langues parle-t-on en Estonie?,fr,"langues, Estonie"
Welke talen worden gesproken in Estland?,nl,"taal, gesproken, Estland"
Is there a video game called Battle Chess?,en,"video game, Battle Chess"
"Gibt es ein Videospiel, das Battle Chess heißt?",de,"Videospiel, Battle Chess"
¿Hay algún videojuego que se llame Battle Chess?,es,"videojuego, Battle Chess"
Esiste un videogioco che si chiama Battle Chess?,it,"videogioco, Battle Chess"
Existe-t-il un jeu vidéo appelé Battle Chess?,fr,"jeu vidéo, Battle Chess"
Bestaat er een videospel met de naam Battle Chess?,nl,"videospel, Battle Chess"
Which mountains are higher than the Nanga Parbat?,en,"mountain, higher, Nanga Parbat"
Welche Berge sind höher als der Nanga Parbat?,de,"Berg, höher, Nanga Parbat"
¿Qué montañas son más altas que el Nanga Parbat?,es,"montañas, más altas, Nanga Parbat"
Quali montagne sono più alte del Nanga Parbat?,it,"montagna, più alta, Nanga Parbat"
Quelles montagnes sont plus hautes que le Nanga Parbat?,fr,"montagnes, plus hautes, Nanga Parbat"
Welke bergen zijn hoger dan de Nanga Parbat?,nl,"bergen, hoger, Nanga Parbat"
When is the movie Worst Case Scenario going to be in cinemas in the Netherlands?,en,"movie, Worst Case Scenario, cinema, Netherlands"
Wann kommt der Film Worst Case Scenario in den Niederlanden in die Kinos?,de,"Film, Worst Case Scenario, Kino, Niederlande"
¿Cuándo se estrena la película Worst Case Scenario en los países bajos?,es,"película, Worst Case Scenario, cines, páises bajos"
Quando verrà proiettato il film Worst Case Scenario al cinema nei Paesi Bassi?,it,"film, Worst Case Scenario, cinema, Paesi Bassi"
Quand sera la film Worst Case Scenario à voir dans les cinémas néerlandais?,fr,"Worst Case Scenario, cinémas néerlandais"
Wanneer komt de film Worst Case Scenario in Nederland in de bioscoop?,nl,"film, Worst Case Scenario, bioscoop, Nederland"
Is Jens Friebe a vegan?,en,"Jens Friebe, vegan"
Ist Jens Friebe Veganer?,de,"Jens Friebe, Veganer"
¿Es Jens Friebe vegano?,es,"Jens Friebe, vegano"
Jens Friebe è vegano?,it,"Jens Friebe, vegano"
Jens Friebe est-il un végétarien?,fr,"Jens Friebe, végétarien"
Is Jens Friebe vegetariër?,nl,"Jens Friebe, vegetariër"
Which telecommunications organizations are located in Belgium?,en,"telecommunications organization, located, Belgium"
Welche Telekommunikationsunternehmen haben ihren Sitz in Belgien?,de,"Telekommunikationsunternehmen, Sitz, Belgien"
¿Qué empresas de telecomunicaciones tienen su sede en Bélgica?,es,"empresas de telecomunicaciones, sede, Bélgica"
Quali aziende di telecomunicazioni hanno sede in Belgio?,it,"azienda di telecomunicazioni, sede, Belgio"
Quelles agences de télécommunication sont situées en Belgique?,fr,"agences de télécommunication, situées, Belgique"
Welke telecom-bedrijven zijn gevestigd in België?,nl,"België, telecom-bedrijf, gevestigd"
