questions,lang,keywords
¿En qué ciudad esta la fábrica de cerveza Heineken?,es,"ciudad, fábrica cerveza Heineken"
In quale città si trova il birrificio della Heiniken?,it,"città, birrificio della Heiniken"
Dans quelle ville se trouve la brasserie de Heineken?,fr,"ville, brasserie, Heineken?"
In welke stad bevindt zich de Heineken brouwerij?,nl,"stad, Heineken, brouwerij"
हाइनेकेन शराब की भठ्ठी किस शहर में है?,hi_IN,"हाइनेकेन, शराब की भठ्ठ, शहर"
În ce oraș este fabrica de bere Heineken?,ro,"oraș, fabrica de bere Heineken"
When did Operation Overlord commence?,en,"when, Operation Overlord, commence"
نبرد خان بزرگ کی شروع شد؟,fa,نبرد خان بزرگ، شروع
Wann wurde die Operation Overlord durchgeführt?,de,"Operation Overlord, Datum"
¿Cuándo comenzó la operación Overlord?,es,"comienzo, operación Overlord "
Quando è iniziata l'operatione Overlord?,it,"data di inizio, operatione Overlord"
Quand a commencé l'opération Overlord?,fr,"date de commencement, opération Overlord"
Wanneer vond Operatie Overlord plaats?,nl,"Operatie Overlord, datum"
ऑपरेशन ओवेरलोर्ड कब शुरू हुआ था?,hi_IN,ऑपरेशन ओवेरलोर्ड
Când a început operațiunea Overlord?,ro,"când, început, operațiunea Overlord"
In which city does the Chile Route 68 end?,en,"city, Chile Route 68, ends"
در کدام شهر مسیر 68 شیلی پایان می یابد؟,fa,شهر، مسیر 68 شیلی، پایان
In welcher Stadt hört die Ruta 68 auf?,de,"Stadt, aufhören, Ruta 68"
¿En que ciudad termina la ruta Chilena 68?,es,"ciudad, termina, ruta Chilena 68"
In quale città termina la Route 68 in Cile?,it,"città, termina, Route 68, Cile"
Dans quelle ville se termine la route 68 chilienne?,fr,"route 68, chili, ville, terminaison"
In welke stad eindigt de Route 68 in Chili?,nl,"stad, eindigt, Route 68, Chili"
चिली रूट 68 का अंत कौनसे शहर में होता है?,hi_IN,"चिली रूट 68, शहर"
În ce oraș se termină Route 68 din Chile?,ro,"oraș, termină, Route 68, Chile"
Who developed Slack?,en,"developer, Slack"
اسلک را چه کسی توسعه داد؟,fa,اسلک، توسعه
Wer hat Slack entwickelt?,de,"Slack, Entwickler"
¿Quien desarrolló Slack?,es,"desarrollador, Slack"
Chi ha sviluppato Slack?,it,"sviluppatore, Slack"
Qui est le développeur de Slack?,fr,"développeur, Slack"
Wie ontwikkelde Slack?,nl,"Slack, ontwikkelaar"
कौन ने स्लैक विकसित किया है?,hi_IN,"स्लैक, विकासक"
Cine a dezvoltat Slack?,ro,"dezvoltator, Slack"
Who was married to president Chirac?,en,"married to, president Chirac"
Wer war mit Präsident Chirac verheiratet?,de,"verheiratet mit, Päsident Chirac"
¿Quién estuvo casado con el presidente Chirac?,es,"casado con, presidented Chirac"
Chi è stato sposato con il presidente Chirac?,it,"sposato con, presidente Chirac"
Qui était marrié avec le président Chirac?,fr,"épouse, président Chirac"
Wie was met president Chirac getrouwd?,nl,"getrouwd met, president Chirac"
राष्ट्रपति चिराक से किसने विवाह किया था?,hi_IN,"राष्ट्रपति चिराक, विवाह"
Cine a fost căsătorit cu președintele Chirac?,ro,"căsătorit cu, președintele Chirac"
What did Bruce Carver die from?,en,"Bruce Carver, die"
Woran ist Bruce Carver gestorben?,de,"Bruce Carver, gestorben an"
¿De qué murió Bruce Carver?,es,"Bruce Caver, muerte"
Di cosa è morto Bruce Carver?,it,"Bruce Caver, morire"
Quel est la cause de décès de Bruce Carver?,fr,"cause de décès, Bruce Carver"
Waaraan overleed Bruce Carver?,nl,"Bruce Carver, gestorven aan"
ब्रूस कार्वर कि मृत्यु किस से हुई?,hi_IN,"ब्रूस कार्वर, मृत्यु"
Which cities does the Weser flow through?,en,"Weser, flow through, city"
وزر از چه شهرهایی می گذرد؟,fa,وزر، شهرهایی، می گذرد
Durch welche Städte fließt die Weser?,de,"Weser, fließen, Stadt"
¿Por qué ciudades pasa el río Weser?,es,"cuidad, pasa, Weser"
Attraverso quali città scorre il fiume Weser?,it,"città, scorrere, fiume Weser"
Quels sont les villes traversées par la Weser?,fr,"villes, traverser, Weser"
Door welke steden loopt de Weser?,nl,"stad, loopt door, Weser"
किन शहरों से वेसर का प्रवाह होता है?,hi_IN,"वेसर, शहरो, प्रवाह"
Ce orașe străbate Weserul?,ro,"Weser, străbate, oraș"
Which books by Kerouac were published by Viking Press?,en,"book, Kerouac, publish, Viking Press"
چه کتاب هایی اثر کرواک توسط انتشارات وایکینگ منتشر شدند؟,fa,کتاب هایی، کرواک، انتشارات وایکینگ، منتشر
Welche Bücher von Kerouac wurden von Viking Press verlegt?,de,"Buch, Kerouac, verlegen, Viking Press"
¿Qué libros de Kerouac han sido publicados por Viking Press?,es,"libro, Kerouac, publicado, Viking Press"
Quali libri di Kerouac furono pubblicati da Viking Press?,it,"libro, Kerouac, pubblicare, Viking Press"
Quels lives de Kerouac ont été publiés par Viking Press?,fr,"lives de Kerouac, publiés, Viking Press"
Welke boeken van Jack Kerouac werden uitgegeven door Viking Press?,nl,"boek, Jack Kerouac, uitgever, Viking Press"
वाइकिंग प्रेस द्वारा कैरौक की कौन सी किताबें प्रकाशित की गई थीं?,hi_IN,"वाइकिंग प्रेस, कैरौक, प्रकाशित"
Ce cărți de Kerouac a fost publicate de Viking Press?,ro,"carte, Kerouac, publica, Viking Press"
How tall is Amazon Eve?,en,"Amazon Eve, tall"
قد آمازون ایو چقدر است؟,fa,قد، آمازون ایو
Wie groß ist Amazon Eve?,de,"Amazon Eve, groß"
¿Cómo de alta es Amazon Eve?,es,"Amazon Eve, altura"
Quanto è alta Amazon Eve?,it,"Amazon Eve, altezza"
Quelle est la taille de Amazon Eve?,fr,"taille, Amazon Eve"
Hoe lang is Amazon Eve?,nl,"lengte, Amazon Eve"
अमेज़ॅन ईव कितनी लंबी है?,hi_IN,"अमेज़ॅन ईव, लंबी"
Ce înălțime are Amazon Eve?,ro,"Amazon Eve, înălțime"
Which museum exhibits The Scream by Munch?,en,"museum, Scream, Munch"
In welchem Museum ist Der Schrei von Munch ausgestellt?,de,"Museum, Schrei, Munch"
¿En qué museo está expuesto el Grito de Munch?,es,"museo, El Grito, Munch"
In quale museo è esposto l'Urlo di Munch?,it,"museo, l'Urlo, Munch"
Dans quel musée est exposé Le Cri de Munch?,fr,"musée, le Cri, Munch"
In welk museum hangt De Schreeuw van Munch?,nl,"museum, De Schreeuw, Munch"
कौन सा संग्रहालय मंच द्वारा द स्क्रीम प्रदर्शित करता है?,hi_IN,"संग्रहालय, मंच, द स्क्रीम, प्रदर्शित"
În ce muzeu este expus “Strigătul” lui Munch?,ro,"muzeu, Strigătul, Munch"
Who wrote the book Les Piliers de la terre?,en,"wrote, book, The pillars of the Earth"
Wer schrieb das Buch Die Säulen der Erde?,de,"schreiben, Buch, Die Säulen der Erde"
¿Quen escribió el libro Los pilares de la Tierra?,es,"escritor, libro, Pilares de la Tierra"
Chi ha scritto il libro I pilastri della Terra?,it,"scritto, libro, I pilastri della Terra"
Qui a écrit le livre Les Piliers de la terre?,fr,"Les Piliers de la terre, écrivain"
Wie schreef het boek De Pilaren van de Aarde?,nl,"auteur, De Pilaren van de Aarde"
लेस पिलीरेस डी ला टेरे किताब को किसने लिखा है?,hi_IN,"लेस पिलीरेस डी ला टेर, लेखक"
Is James Bond married?,en,"James Bond, married"
Ist James Bond verheiratet?,de,"James Bond, verheiratet"
¿Está James Bond casado?,es,"James Bond, casado"
James è Bond sposato?,it,"James Bond, sposato"
James Bond est-il marié?,fr,"James Bond, marié"
Is James Bond getrouwd?,nl,"James Bond, getrouwd"
क्या जेम्स बांड ने शादी की है?,hi_IN,"जेम्स बांड, शादी"
James Bond este căsătorit?,ro,"James Bond, căsătorit"
Who discovered Ceres?,en,"discoverer, Ceres"
سرس را چه کسی کشف کرد؟,fa,سرس، کشف
Wer entdeckte Ceres?,de,"Ceres, Entdecker"
¿Quién descubrió Ceres?,es,"descubridor, Ceres"
Chi ha scoperto Cerere?,it,"scopritore, Cerere"
Qui a découvert Cérès?,fr,"découvreur, Cérès"
Wie ontdekte Ceres?,nl,"Ceres, ontdekker"
सेरेस की खोज किसने की?,hi_IN,"सेरेस, खोज"
Cine l-a descoperit pe Ceres?,ro,"descoperitor, Ceres"
Which river does the Brooklyn Bridge cross?,en,"river, cross, Brooklyn Bridge"
Welchen Fluss überspannt die Brooklyn Bridge?,de,"Fluss, überspannen, Brooklyn Bridge"
¿Por qué río cruza la Brooklyn Bridge?,es,"río, cruza, Brooklyn Bridge"
Quale fiume attraversa il ponte di Brooklyn?,it,"fiume, attraversare, ponte di Brooklyn"
Quelle cours d'eau est traversé par le pont de Brooklyn?,fr,"cours d'eau, pont de Brooklyn"
Welke rivier overspant de Brooklyn Bridge?,nl,"rivier, Brooklyn Bridge, overspant"
ब्रुकलिन ब्रिज को कोनसी नदी पार करती है?,hi_IN,"ब्रुकलिन ब्रिज, नदी"
What is the largest country in the world?,en,"largest country, world"
بزرگترین کشور در دنیا کدام است؟,fa,بزرگترین کشور، دنیا
Was ist das größte Land der Welt?,de,größtes Land
¿Cuál es el país más grande del mundo?,es,"país, más grande mundo"
Qual è la nazione più grande al mondo?,it,"nazione, più grande al mondo"
Quel est le pays le plus grand du monde?,fr,"Pays, grandeur maximale"
Wat is het grootse land ter wereld?,nl,grootste land
दुनिया का सबसे बड़ा देश क्या है?,hi_IN,"सबसे बड़ा, देश"
Care este cea mai mare țară din lume?,ro,"cea mai mare țară, lume"
Who is the mayor of Paris?,en,mayor of Paris
شهردار پاریس کیست؟,fa,شهردار، پاریس
Wer ist Bürgermeister von Paris?,de,"Paris, Bürgermeister"
¿Quién es el alcalde de París?,es,alcalde París
Chi è il sindaco di Parigi?,it,sindaco di Parigi
Qui est le maire de Paris?,fr,"maire, Paris"
Wie is de burgemeester van Parijs?,nl,"burgemeester, Parijs"
पेरिस का महापौर कौन है?,hi_IN,"पेरिस, महापौर"
Cine este primarul Parisului?,ro,primarul Parisului
Who is the coach of Ankara's ice hockey team?,en,"coach, ice hockey team, Ankara"
سرمربی تیم هاکی آنکارا کیست؟,fa,سرمربی، تیم هاکی آنکارا
Wer ist der Trainer von Ankaras Eishockeymannschaft?,de,"Ankara, Eishockeymannschaft, Trainer"
¿Quién es el entrenador del equipo de hockey sobre hielo de Ankara?,es,"entrenador, equipo hockey sobre hielo, Ankara"
Chi è l'allenatore della squadra di hockey di Ankara?,it,"allenatore, squadra di hockey, Ankara"
Qui est le coach de l'équipe d'hockey sur glace d'Ankara?,fr,"coach, hockey sur glace, Ankara"
Wie is de coach van het ijshockey team van Ankara.,nl,"coach, ijshockey team, Ankara"
अंकारा के आइस हॉकी टीम का कोच कौन है?,hi_IN,"अंकारा, आइस हॉकी टीम, कोच"
Cine este antrenorul echipei de hochei pe gheață din Ankara?,ro,"antrenor, echipa de hochei pe gheață, Ankara"
Who is the mayor of the capital of French Polynesia?,en,"mayor, capital, French Polynesia"
Wer ist der Bürgermeister der Hauptstadt von Französisch-Polynesien?,de,"Bürgermeister, Hauptstadt, Französisch-Polynesien"
¿Quien es el alcalde de la capital de la Polinesia Francesa?,es,"alcalde, capital Polinesia Francesa"
Chi è il sindaco della capitale della Polinesia Francese?,it,"sindaco, capitale, Polinesia Francese"
Qui est le maire de la capitale de la Polynésie Francaise?,fr,"maire, capitale, Polynésie Francaise"
Wie is de burgermeester van de hoofdstad van Frans-Polynesië?,nl,"burgermeester, hoofdstad, Frans-Polynesië"
फ्रेंच पोलिनेशिया की राजधानी का महापौर कौन है?,hi_IN,"फ्रेंच पोलिनेशिया, राजधानी, महापौर"
Cine este primarul capitaliei Polineziei Franceze?,ro,"primar, capitală, Polinezia Franceză"
Which awards did Douglas Hofstadter win?,en,"Douglas Hofstadter, award"
Welche Preise hat Douglas Hofstadter gewonnen?,de,"Douglas Hofstadter, Preise"
¿Qué premios ha ganado Douglas Hofstadter?,es,"Douglas Hofstadter, premios"
Quali premi ha vinto Douglas Hofstadter?,it,"Douglas Hofstadter, premio"
Quels prix ont été gagnés par Douglas Hofstadter?,fr,"Douglas Hofstadter, prix"
Welke prijzen heeft Douglas Hofstadter gewonnen?,nl,"Douglas Hofstadter, prijs"
डगलस हॉफस्टैडर ने किन पुरस्कारों को जीता है?,hi_IN,"डगलस हॉफस्टैडर, पुरस्कार, जीत"
Ce premii a câștigat Douglas Hofstadter?,ro,"Douglas Hofstadter, premii"
How much did the Lego Movie cost?,en,"Lego Movie, cost"
فیلم لگو چقدر هزینه داشت؟,fa,فیلم لگو، هزینه
Wieviel hat der Legofilm gekostet?,de,"Legofilm, Budget"
¿Cuánto cuesta la película de Lego?,es,"precio, película de Lego"
Quanto è costato il Lego Movie?,it,"costo, Lego Movie"
Combien a coûté le film de Légo,fr,"prix, film de Légo"
Hoveel heeft de Lego Movie gekost?,nl,"Lego Movie, kosten"
लेगो मूवी की लागत कितनी थी?,hi_IN,"लेगो मूवी, लागत"
Cât de mult a costat filmul Lego?,ro,"filmul Lego, costa"
Do Prince Harry and Prince William have the same parents?,en,"Prince Harry, Prince William, same, parents"
Haben Prinz Harry und Prinz William dieselben Eltern?,de,"Prinz Harry, Prinz William, selbe Eltern"
¿Tienen el príncipe Harry y el prínciple William la misma madre?,es,"príncipe Harry, príncipe William, la misma madre"
Il principe Harry e il principe William hanno gli stessi genitoris?,it,"principe Harry, principe William, stessi genitori"
Ont les princes Harry et William la même mère?,fr,"prince Harry, Prince William, même mère"
Hebben prins Harry en prins William dezelfde ouders?,nl,"prins Harry, prins William, dezelfde, ouders"
क्या प्रिंस हैरी और प्रिंस विलियम के माता-पिता एक हैं?,hi_IN,"प्रिंस हैरी, प्रिंस विलियम, माता, पिता"
Prințul Harry și Prințul William au aceiași părinți?,ro,"Prințul Harry, Prințul William, aceiași, părinți"
How many languages are spoken in Turkmenistan?,en,"languages, Turkmenistan"
چند زبان در ترکمنستان صحبت می شود؟],fa,زبان، ترکمنستان
Wieviele Sprachen werden in Turkmenistan gesprochen?,de,"Sprachen, Turkmenistan"
¿Cuántos idiomas se hablan en Turkmenistán?,es,"idiomas, Turkmenistán"
Quante lingue sono parlate in Turkmenistan?,it,"lingue, Turkmenistan"
Combien de langues sont parlées au Turkménistan?,fr,"langues, Turkménistan"
Hoeveel talen worden er gesproken in Turkmenistan?,nl,"talen, Turkmenistan"
तुर्कमेनिस्तान में कितनी भाषाएं बोली जाती हैं?,hi_IN,"तुर्कमेनिस्तान, भाषाएं, बोली"
Câte limbi sunt vorbite în Turkmenistan?,ro,"limbi, Turkmenistan"
In which films did Julia Roberts as well as Richard Gere play?,en,"film, play, Julia Roberts, Richard Gere"
در چه فیلم هایی جولیا رابرتس همچنین ریچارد گییر بازی کردند؟,fa,فیلم هایی، جولیا رابرتس، ریچارد گییر، بازی
In welchen Filmen spielen sowohl Julia Roberts als auch Richard Gere mit?,de,"Film, mitspielen, Julia Roberts, Richard Gere"
¿En qué películas actúan Julia Roberts y Richard Gere?,es,"película, actores, Julia Roberts, Richard Gere"
In quali film recitano sia Julia Roberts che Richard Gere?,it,"film, recitare, Julia Roberts, Richard Gere"
Dans quels films jouent Julia Roberts et Richard Gere?,fr,"films, Julia Roberts, Richard Gere"
In welke films speelden zowel Julia Roberts als Richard Gere?,nl,"film, speel, Julia Roberts, Richard Gere"
जूलिया रॉबर्ट्स और रिचर्ड गेरे ने किस फिल्म में अभिनय किया था?,hi_IN,"जूलिया रॉबर्ट्स, रिचर्ड गेरे, फिल्म, अभिनय"
În ce filme joacă Julia Roberts precum și Richard Gere?,ro,"film, joacă, Julia Roberts, Richard Gere"
In which country does the Ganges start?,en,"Ganges, start, country"
In welchem Land entspringt der Ganges?,de,"Ganges, entspringen, Land"
¿En qué país nace el Ganges?,es,"Ganges, país, orígen"
In quale stato nasce il Gange?,it,"Gange, stato, origine"
Dans quel pays commence le Gange?,fr,"pays, commence, Gange"
In welk land ontspringt de Ganges?,nl,"ontspringt, Ganges"
गंगा किस देश में शुरू होती है?,hi_IN,"गंगा, देश, शुरू"
Din ce țară izvorăște Ganga?,ro,"Gangele, izvor, țară"
In which year was Rachel Stevens born?,en,"year, born, Rachel Stevens"
ریچل استیونز در چه سالی متولد شد؟,fa,ریچل استیونز، سالی، متولد
In welchem Jahr wurde Rachel Stevens geboren?,de,"Jahr, geboren, Rachel Stevens"
¿En que año nació Rachel Stevens?,es,"año, nació, Rachel Stevens"
In quale anno è nata Rachel Stevens?,it,"anno nascita, Rachel Stevens"
Quand est née Rachel Stevens?,fr,"année de naissance, Rachel Stevens"
In welk jaar word Rachel Stevens geboren?,nl,"jaar, geboren, Rachel Stevens"
रेचल स्टीवंस का जन्म किस साल हुआ था?,hi_IN,"रेचल स्टीवंस, जन्म, साल"
În ce an s-a născut Rachel Stevens?,ro,"an, născut, Rachel Stevens"
Is Barack Obama a democrat?,en,"Barack Obama, democrat"
Ist Barack Obama ein Demokrat?,de,"Barack Obama, Demokrat"
¿Es Barack Obama demócrata?,es,"Barack Obama, demócrata"
Barack Obama è un democratico?,it,"Barack Obama, democratico"
Barack Obama est-il un démocrate?,fr,"Barack Obama, démocrate"
Is Barack Obama een democraat?,nl,"Barack Obama, democraat"
क्या बराक ओबामा एक डेमोक्रेट है?,hi_IN,"बराक ओबामा, डेमोक्रेट"
Barack Obama este un democrat?,ro,"Barack Obama, democrat"
Where was Bach born?,en,"birthplace, Bach"
Wo wurde Bach geboren?,de,"Bach, geboren"
¿Dónde nació Bach?,es,"Bach, lugar de nacimiento"
Dove è nato Bach?,it,"Bach, luogo di nascita"
Où est né Bach?,fr,"Lieu de naissance, Bach"
Waar was Bach geboren?,nl,"Bach, geboorteplaats"
बाख का जन्म कहाँ हुवा था?,hi_IN,"बाख, जन्म"
Unde s-a născut Bach?,ro,"locul nașterii, Bach"
How often did Jane Fonda marry?,en,"Jane Fonda, marry, how often"
جین فوندا چند بار ازدواج کرد؟,fa,جین فوندا، ازدواج
Wie oft hat Jane Fonda geheiratet?,de,"Jane Fonda, heiraten, wie oft"
¿Cuántas veces ha estado casada Jane Fonda?,es,"Jane Fonda, casada, cuántas veces"
Quante volte si è sposata Jane Fonda?,it,"Jane Fonda, sposata, quante volte"
Combien de fois s'est mariée Jane Fonda?,fr,"Jane Fonda, marriages, nombre de fois"
Hoe vaak is Jane Fonda getrouwd?,nl,"Jane Fonda, getrouwd, hoe vaak"
जेन फोंडा ने कितनी बार शादी की?,hi_IN,"जेन फोंडा, कितनी बार, शादी"
Cât de des s-a măritat Jane Fonda?,ro,"Jane Fonda, mărita, cât de des"
Who was the first to climb Mount Everest?,en,"first, climb, mount Everest"
Wer hat als erstes den Mount Everest bestiegen?,de,"Mount Everest, besteigen, erster"
¿Quién fue el primero en ascender al Monte Everest?,es,"primero, ascender, Monte Everest"
Chi è stato il primo a scalare il Monte Everest?,it,"primo, scalare, Monte Everest"
Qui est la première personne à conquerir le Mont Everest?,fr,"première personne, Mont Everest"
Wie was de eerste die de Mount Everest beklom?,nl,"Mount Everest, eerste, beklimmen"
माउंट एवरेस्ट पर चढ़ने वाला पहला कौन था?,hi_IN,"माउंट एवरेस्ट, चढ़ने वाला पहला"
Cine a fost primul om care a escaladat muntele Everest?,ro,"primul, escaladat, muntele Everest"
How many people live in Poland?,en,"How many people, Poland"
چند نفر در لهستان زندگی می کنند؟,fa,نفر، لهستان، زندگی
Wieviele Menschen leben in Polen?,de,"Polen, Einwohner"
¿Cuántas personas viven en Polonia?,es,"Cuántas personas, habitan, Polonia"
Quante persone vivono in Polonia?,it,"quante persone, Polonia"
Combien de personnes vivent en Pologne?,fr,"nombre de personnnes, Pologne"
Hoeveel mensen wonen er in Polen?,nl,"Polen, inwoners"
पोलैंड में कितने लोग रहते हैं?,hi_IN,"पोलैंड, कितन लोग, रहते"
Câți oameni locuiesc în Polonia?,ro,"câți oameni, Polonia"
What is the location of the Houses of Parliament?,en,"location, Houses of Parliament"
مکان کاخ وستمینستر کجاست؟,fa,مکان، کاخ وستمینستر
Wo ist der Westminster-Palast?,de,"Ort, Westminster-Palast"
¿Donde están situadas las Casas del Parlamento?,es,"localización, casas del parlamento"
Dove si trova il Palazzo di Westminster?,it,"luogo, Palazzo di Westminster"
Où se trouve le palais de Westminster?,fr,"location, palais de Westminster"
Waar is de Palace of Westminster?,nl,"plaats, Palace of Westminster"
संसद के सदनों का स्थान क्या है?,hi_IN,"संसद के सदनों, स्थान"
Care este locația Palatului Westminster?,ro,"locație, Palatul Westminster"
In which country is the Limerick Lake?,en,"Limerick Lake, country"
In welchem Land befindet sich der Limerick Lake?,de,"Limerick Lake, Land"
¿En qué país se encuentra el lago Limerick?,es,"lago Limerick, país"
In quale stato si trova il lago Limerick?,it,"lago Limerick, stato"
Dans quel pays se trouve le lac Limerick?,fr,"pays, lac Limerick"
In welk land ligt Limerick Lake?,nl,"Limerick Lake, land"
लिमरिक झील किस देश में है?,hi_IN,"लिमरिक झील, देश"
What was the last movie with Alec Guinness?,en,"Alec Guinness, last, movie"
آخرین فیلم الک گینس چه بود؟,fa,آخرین، فیلم، الک گینس
Was war der letzte Film mit Alec Guinness?,de,"Alec Guinness, letzter, Film"
¿Cuál fue la última película con Alec Guinness?,es,"última película, Alec Guinness"
Qual è l'ultimo film con Alec Guinness?,it,"Alec Guinness, ultimo film"
Quel est le dernier film d'Alec Guinness?,fr,"Alec Guiness, dernier film"
Wat was de laatste film met Alec Guinness?,nl,"Alec Guinness, laatste, film"
एलेक गिनीज की आखिरी फिल्म क्या थी?,hi_IN,"एलेक गिनीज, आखिरी फिल्म"
Care a fost ultimul film cu Alec Guinness?,ro,"Alec Guinness, ultim, film"
What is the highest mountain in Australia?,en,"Australia, highest mountain"
Was ist der höchste Berg in Australien?,de,"Australien, höchster Berg"
¿Cuál es la montaña más alta de Australia?,es,"Australia, montaña más alta"
Qual è la montagna più alta d'Australia?,it,"Australia, montagna più alta"
Quelle est la plus haute montagne d'Australie?,fr,"plus haute montagne, Australie"
Wat is de hoogste berg van Australië?,nl,"Australië, hoogste berg"
ऑस्ट्रेलिया में सर्वोच्च पर्वत कोनसा है?,hi_IN,"ऑस्ट्रेलिया, सर्वोच्च पर्वत"
Is Frank Herbert still alive?,en,"Frank Herbert, alive"
Lebt Frank Herbert noch?,de,"Frank Herbert, leben"
¿Todavía vive Frank Herbert?,es,"Frank Herbert, vive"
Frank Herbert è ancora vivo?,it,"Frank Herbert, vivente"
Frank Herbert est-il encore en vie?,fr,"Frank Herbert, en vie"
Leeft Frank Herbert nog?,nl,"Frank Herbert, leeft"
क्या फ्रैंक हरबर्ट अभी भी जीवित है?,hi_IN,"फ्रैंक हरबर्ट, जीवित"
Who created Family Guy?,en,"create, Family Guy"
چه کسی مرد خانواده را ساخته است؟,fa,مرد خانواده، ساخته
Wer hat sich Family Guy ausgedacht?,de,"Family Guy, Erschaffer"
¿Quién creó Family Guy?,es,"creador, Family Guy"
Chi ha creato I Griffin?,it,"creare, I Griffin"
Qui est le créateur de Family Guy?,fr,"créateur, Family Guy?"
Wie heeft Family Guy bedacht?,nl,"Family Guy, schepper"
फॅमिली गाए कौन ने बनाया है?,hi_IN,"फॅमिली गाए, बनाया"
Cine a creat Family Guy?,ro,"creat, Family Guy"
What is the official language of Suriname?,en,"Suriname, official language"
Was ist die Amtssprache Von Surinam?,de,"Surinam, Amtssprache"
¿Cuál es la idioma oficial de Surinam?,es,"Surinam, idioma oficial"
Qual è la lingua ufficiale del Suriname?,it,"Suriname, lingua ufficiale"
Quelle est la langue officielle du Suriname?,fr,"Suriname, langue officielle"
Wat is de officiële taal van Suriname?,nl,"Suriname, officiële taal"
सूरीनाम की आधिकारिक भाषा क्या है?,hi_IN,"सूरीनाम, आधिकारिक भाषा"
Care este limba oficială din Suriname?,ro,"Suriname, limba oficială"
Who wrote the song Hotel California?,en,"write, song, Hotel California"
چه کسی آهنگ هتل کالیفرنیا را نوشت؟,fa,اهنگ هتل کالیفرنیا، نوشت
