questions,lang
filmgenre,nl
filosoof,nl
formaat,nl
formatie datum,nl
formatie jaar,nl
formule,nl
formule 1-coureur,nl
formule 1-team,nl
fort,nl
fossiel,nl
fotograaf,nl
frequentie van publicatie,nl
functie van persoon,nl
gastheer,nl
gebedsplaats,nl
gebeurtenis,nl
gebeurtenis in de natuur,nl
gebied,nl
gebied onder overheidsbestuur,nl
geboorte,nl
geboortedatum,nl
geboortejaar,nl
geboortenaam,nl
geboorteplaats,nl
gebouw,nl
gedenkteken,nl
gedeputeerde,nl
gedicht,nl
geestelijke,nl
geluid,nl
gemeenschap (community),nl
gemeente,nl
gemeente-code,nl
gen,nl
geneeskunde,nl
geneesmiddel,nl
genre,nl
genre (muziek),nl
geologische periode,nl
geometrie,nl
geopolitieke organisatie,nl
gerelateerd,nl
geschreven werk,nl
geslacht,nl
gesloten,nl
gesproken in,nl
gesticht door,nl
gevangenis,nl
gewicht (g),nl
gewicht (kg),nl
gistsoort,nl
gitaar,nl
gitarist,nl
gletsjer,nl
globulaire zwerm (cluster),nl
godheid,nl
goed oplosbaar in,nl
golf competitie,nl
golf toernooi,nl
golfbaan,nl
golfspeler,nl
goud op de Olympische Spelen,nl
gouden medaille drager,nl
gouverneur,nl
graansoort,nl
graf,nl
grafsteen of grafmonument,nl
grand prix,nl
groenwieren,nl
groep,nl
groep mensen herdacht,nl
grootste plaats,nl
grot,nl
monumentcode voor het Monumenten Inventarisatie Project,nl
handbal competitie,nl
handbal team,nl
handballer,nl
haven,nl
heerlijkheid,nl
heilig verklaard door,nl
heiligdom,nl
heilige,nl
heiligverklaring datum,nl
heiligverklaring plaats,nl
hemellichaam,nl
herbouw datum,nl
herbouw jaar,nl
heropening jaar,nl
hersenen,nl
heupomvang (μ),nl
historicus,nl
historisch gebouw,nl
historische periode,nl
hockeybond,nl
hockeyclub,nl
hockeyploeg,nl
hoger element,nl
hond,nl
honkbal competitie,nl
honkbal team,nl
honkballer,nl
honkbalseizoen,nl
hoofd van de familie,nl
hoofdredacteur,nl
hoofdstad,nl
hoogste regio,nl
hoogte,nl
hoogte (cm),nl
hoogte (mm),nl
hoogte (μ),nl
hoogte van de toren,nl
horeca,nl
hormoon,nl
hotel,nl
huidig gebruik,nl
huidig wereldkampioen,nl
huidige gemeentenaam,nl
huidige status,nl
huurder,nl
huwelijk,nl
ideologie,nl
ijshockey competitie,nl
ijshockeyspeler,nl
illustrator,nl
in bezit van,nl
infrastructure,nl
ingenieur,nl
inlinehockey competitie,nl
insect,nl
institutie,nl
instrument,nl
instrumentalist,nl
interland doelpunten,nl
internationale organisatie,nl
inwonersaantal,nl
jaar,nl
jaar uitbarsting,nl
jaar van creatie,nl
jaar van de eerste beklimming,nl
jaar van overlijden,nl
jaar van verheffing in de adelstand,nl
jaar van wereldkampioen titel,nl
jaartemperatuur (K),nl
jeugdclub,nl
jockey,nl
journalist,nl
kaap,nl
kaart,nl
kaart omschrijving,nl
kaartspel,nl
kaas,nl
kabinet (regeringsploeg),nl
kadastercode,nl
kampioen dubbel,nl
kampioen enkelspel,nl
kampioen gemengd dubbelspel,nl
kanaal,nl
kanaaltunnel,nl
kankerverwekkend,nl
kanovaarder,nl
kanselier,nl
kanton,nl
kardinaal,nl
kasteel,nl
kat,nl
kenmerk,nl
kerk,nl
kerkelijk bestuurlijk gebied,nl
kerkelijke organisatie,nl
kerkhof,nl
kernenergiecentrale,nl
keuken,nl
kind,nl
klasse,nl
kleur,nl
klimaat,nl
klooster,nl
kloosterorde,nl
kok,nl
komiek,nl
kookpunt (K),nl
korfbalspeler,nl
kosten ($),nl
krant,nl
krater,nl
kreek,nl
kroningsdatum,nl
kunstenaar,nl
kunstmatige satelliet,nl
kunstschaatser,nl
kunstsoort,nl
kunstwerk,nl
laatste drager familienaam,nl
laatste jaar functie,nl
laatste publicatiedatum,nl
lacrosse bond,nl
lacrosse-speler,nl
lagering,nl
lanceerbasis,nl
land,nl
landstreek,nl
langebaanschaatser,nl
langlaufer,nl
latijnse naam,nl
leger,nl
legervliegtuig,nl
legervoertuig,nl
leider,nl
lengte (km),nl
lengte (mm),nl
lengte (μ),nl
letter,nl
levensloopgebeurtenis,nl
leverdatum,nl
libretto,nl
licentie,nl
lid koningshuis,nl
lid van,nl
lid van een verzetsorganisatie,nl
lidmaatschap,nl
lied,nl
ligt nu in gemeente,nl
lijst,nl
lijst items,nl
lijst van nummers,nl
linguïst,nl
lipide,nl
literair genre,nl
locatie,nl
locatie stad,nl
locomotief,nl
locus,nl
locus eindpunt,nl
locus startpunt,nl
logo,nl
luchthaven,nl
luchtvaartmaatschappij,nl
luitenant,nl
lymfe,nl
maal capaciteit,nl
maalvaardig,nl
maankrater,nl
maatschappelijke gebeurtenis,nl
maker,nl
manga,nl
manhua,nl
manhwa,nl
matig oplosbaar in,nl
maximale absolute magnitude,nl
maximale schijnbare magnitude,nl
media,nl
mediatype,nl
medicus,nl
meer,nl
meerdelige publicatie,nl
melkwegstelsel,nl
menselijk gen,nl
menselijk genoom locatie,nl
met in de hoofdrol,nl
metrostation,nl
microregio,nl
mijn (delfstoffen)),nl
militair,nl
militair bouwwerk,nl
militair conflict,nl
militaire eenheid,nl
millsCodeNLWindmotoren,nl
mineraal,nl
minister-president,nl
mobiele telefoon,nl
mode,nl
modelijn,nl
modeontwerper,nl
moederorganisatie,nl
molen code BE,nl
molen code NL,nl
molen-type,nl
molgewicht,nl
monarch,nl
monument,nl
monumentStatus,nl
monumentcode gemeentelijke monumenten,nl
monumentcode provinciale monumenten,nl
monumentcode rijksmonumenten,nl
moordenaar,nl
moskee,nl
mossen,nl
motor,nl
motorcoureur,nl
motorfiets,nl
motorrace competitie,nl
motorrijder,nl
motorsport renner,nl
motorsportseizoen,nl
motorvermogen,nl
motorwedstrijd,nl
motto,nl
muisgenoom,nl
muisgenoom locatie,nl
muntsoort,nl
museum,nl
musical,nl
muziekartiest,nl
muziekfestival,nl
muziekinstrument,nl
muziekwerk,nl
mythologisch figuur,nl
naam,nl
naam bevolkingsgroep,nl
naam in Hangul-geschreven Koreaans,nl
naam in Hanja-geschreven Koreaans,nl
naam in Mindongyu Chinees,nl
naam in Minnanyu Chinees,nl
naam in het Japans,nl
naam in het Kantonees Chinees,nl
naam in het Pinyin Chinees,nl
naam in het Traditioneel Chinees,nl
naam in het Vereenvoudigd Chinees,nl
naam leider,nl
naamsvariant,nl
nascar coureur,nl
nationaal Olympisch commité,nl
nationaal team,nl
nationale voetbalclub,nl
nationaliteit,nl
natuurgebied,nl
natuurlijke regio,nl
nederzetting,nl
neemt deel aan,nl
netnummer,nl
niet oplosbaar in,nl
nieuwe gemeentenaam,nl
non-fictie onderwerp,nl
non-profit organisatie,nl
nummer,nl
oceaan,nl
ogen,nl
omroep,nl
omroeporganisatie,nl
omschrijving,nl
omtrek (μ),nl
onderfamilie,nl
ondergeslacht,nl
onderklasse,nl
ondernemer,nl
onderorde,nl
onderscheiding,nl
onderschrift,nl
onderstam,nl
onderwerpsaanduiding,nl
onderwijsinstelling,nl
onderzoeksproject,nl
ontbindingsdatum,nl
ontwikkelaar,nl
oorsprong,nl
oorspronkelijk gebruik,nl
oorspronkelijke naam,nl
oorspronkelijke taal,nl
oorspronkelijke titel,nl
oorspronkelijke uitgever,nl
op basis van,nl
op kerkhof,nl
open zwerm (cluster),nl
openbaar vervoer systeem,nl
openingsjaar,nl
opera,nl
opgegaan in,nl
opgenomen in,nl
oplage,nl
opleiding,nl
oplosbaarheid,nl
opname datum,nl
oppervlakte (km2),nl
oppervlakte (m2),nl
oppervlakte land (m2),nl
oppervlakte water (m2),nl
oppressie datum,nl
oprichtingsjaar,nl
opstand,nl
opvolger,nl
opzichter,nl
orde,nl
orgaan openbaar bestuur,nl
organisatie,nl
organisatielid,nl
orgel,nl
ouder,nl
oudgriekse naam,nl
overkoepelende titel,nl
overwinningen op de Olympische Spelen,nl
overzees departement,nl
paard,nl
paardenrace,nl
paardentrainer,nl
paardrijder,nl
paardrijsport,nl
pagina van verwijzing,nl
paintball competitie,nl
park,nl
parlement,nl
parlementslid,nl
parochie,nl
partij,nl
partner,nl
party service bedrijf,nl
passagiers per jaar,nl
paus,nl
penalty schieten,nl
pensioendatum,nl
percentage,nl
percentage van de bevolking dat geletterd is,nl
percentage wateroppervlak,nl
perifocus,nl
periode,nl
periode in de prehistorie,nl
periode in de protohistorie,nl
perrons,nl
personage (fictie),nl
personage in Naruto,nl
persoon,nl
persoon functie,nl
plaats,nl
plaats op de muziek hitlijst,nl
plaats van geschiedkundig belang,nl
plaats van overlijden,nl
plaatsbekleder,nl
planeet,nl
plant,nl
platenlabel,nl
plein,nl
pokerspeler,nl
politicus,nl
politieke functie,nl
politieke partij,nl
polo competitie,nl
polyhedron,nl
polysacharide,nl
poort(gebouw),nl
pornografisch acteur,nl
positie,nl
postcode,nl
predikant,nl
prefectuur,nl
presentator,nl
president,nl
pretparkattractie,nl
priester,nl
prijs,nl
prijzengeld loopbaan ($),nl
procedure,nl
processor (CPU),nl
procureur-generaal,nl
producent,nl
product,nl
productie beginjaar,nl
productie eindjaar,nl
productiebedrijf,nl
professor,nl
programmeertaal,nl
project,nl
promotor,nl
proosdij,nl
proteïne,nl
provincie,nl
provincie zetel,nl
pseudoniem,nl
psycholoog,nl
publicatiedatum,nl
pyramide,nl
race,nl
racecircuit,nl
radio bestuurbare race competitie,nl
radiopresentator,nl
radioprogramma,nl
radiozender,nl
raket,nl
raketmotor,nl
rallycoureur,nl
rechter,nl
rechtssysteem,nl
rechtsvorm,nl
rechtzaak,nl
redacteur,nl
reden van opheffing,nl
reeks,nl
regelnummer van verwijzing,nl
regentschap (regering),nl
regerende paus,nl
regeringspartij,nl
regeringsvorm,nl
regio,nl
regio-type,nl
regisseur,nl
registernummer,nl
relatie,nl
release datum,nl
relevante regelgeving,nl
religie,nl
religieus,nl
religieuze orde,nl
renbaan,nl
renpaard,nl
reptiel,nl
restaurant,nl
resultaat op de Olympische Spelen,nl
rijk,nl
rivier,nl
riviermonding,nl
riviertak,nl
rode lijst ID NL,nl
roeier,nl
rolpad,nl
roltrap,nl
roman,nl
rue,nl
rugby club,nl
rugby competitie,nl
rugbyspeler,nl
ruimtemissie,nl
ruimtestation,nl
ruimtevaarder,nl
ruimtevaartuig,nl
ruimteveer,nl
rustplaats,nl
samba school,nl
samengevoegde gemeente,nl
samenstel,nl
satelliet,nl
scenarioschrijver,nl
schaaldier,nl
schaatser,nl
schadebedrag,nl
schaker,nl
scheiding,nl
scheidsrechter,nl
schermer,nl
schilder,nl
schilderij,nl
schimmel,nl
schip,nl
schoenmaat,nl
school,nl
schoonheidskoningin,nl
schoonspringer,nl
schouwburg,nl
schrijn,nl
schrijver,nl
schrijver voorwoord,nl
secretaris,nl
seizoen,nl
senator,nl
seriemoordenaar,nl
single,nl
skigebied,nl
skioord,nl
skispringer,nl
skiër,nl
slagader,nl
slaghand,nl
slecht oplosbaar in,nl
slogan,nl
sloop jaar,nl
sloopdatum,nl
sluis,nl
smaak,nl
soap karakter,nl
softball competitie,nl
software,nl
songwriter (tekstdichter),nl
soort,nl
soort gebouw,nl
soort museum,nl
soort muziekwerk,nl
soortgelijke functies,nl
soortgelijke plaatsen,nl
sous-chef,nl
spectraalklasse,nl
speedway competitie,nl
speedway rijder,nl
speedwayteam,nl
speeltijd (s),nl
spel,nl
spier,nl
spinachtigen,nl
spoorbreedte (μ),nl
spoorlijn,nl
spoorlijnen,nl
spoorwegtunnel,nl
sport,nl
sport competitie,nl
sport seizoen,nl
sport specialiteit,nl
sport teamlid,nl
sportbestuurder,nl
sportclub,nl
sportevenement,nl
sportfaciliteit,nl
sportseizoen,nl
sportteam,nl
spotprent,nl
squasher,nl
staat,nl
staatsapparaat,nl
staatsvorm,nl
stad,nl
stadion,nl
stadsdeel,nl
stadswijk,nl
stam,nl
stamvader,nl
standaard,nl
startdatum,nl
station,nl
station structuur,nl
stationair vervoermiddel,nl
stationscode,nl
statistisch,nl
status,nl
steenkolenmijn,nl
stemacteur,nl
stemtype,nl
ster,nl
sterfdatum,nl
sterrenbeeld,nl
stierenvechter,nl
stijlperiode,nl
stilstaand beeld,nl
stormvloed,nl
strand,nl
streek,nl
stripfiguur (Amerikaans),nl
striptekenaar,nl
stripverhaal,nl
stripverhaal (Amerikaanse wijze),nl
stroom,nl
sumoworstelaar,nl
superfamilie,nl
surfer,nl
symbool,nl
synagoge,nl
taal,nl
taal instituut,nl
taalfamilie,nl
tafeltennisser,nl
tak van sport,nl
tankstation,nl
taxon,nl
team,nl
teamlid,nl
teamsport,nl
televisie presentator,nl
televisie seizoen,nl
televisie show,nl
televisie zender,nl
televisiepersoon,nl
tempel,nl
tennis competitie,nl
tennis toernooi,nl
tennisser,nl
territorium,nl
theaterdirecteur,nl
theologisch concept,nl
tijd,nl
tijdschrift,nl
tijdvak,nl
tijdzone,nl
titel,nl
titel datum,nl
toernooi,nl
toneelschrijver,nl
toneelstuk,nl
toonsoort,nl
toren,nl
trainer,nl
trainersjaren,nl
tram,nl
tramhalte,nl
transformatorhuisje,nl
transportsysteem,nl
trein,nl
treinstation,nl
treinwagon,nl
tuin,nl
tunnel,nl
turner,nl
tv-regisseur,nl
tweeling stad,nl
type,nl
type gemeente,nl
type speelgrond,nl
type stad,nl
uitgever,nl
uitrusting,nl
uitslag van een sport competitie,nl
uitstoot (m³/s),nl
universiteit,nl
vakantie,nl
vakbond,nl
vallei,nl
valuta,nl
varen,nl
variant,nl
variant of variatie,nl
veldslag,nl
verbindt referentieobject met,nl
verblijfplaats,nl
verdeling,nl
verdiepingen,nl
verdrag,nl
verdwenen molen code NL,nl
vereerd in,nl
vereniging van lokale overheden,nl
verfilmd als,nl
vergadering,nl
verkiezing,nl
verkiezingen diagram,nl
verkoop,nl
verliezen,nl
versie,nl
vertaler,nl
vervoermiddel,nl
vervolg werk,nl
verzameling van kostbaarheden,nl
verzetsblad,nl
vetgehalte,nl
vice premier,nl
vice president,nl
vice-voorzitter,nl
vicepremier,nl
videospel,nl
vis,nl
vlag,nl
vlag (afbeelding),nl
vlampunt,nl
vliegjaren,nl
vliegtuig,nl
vloeroppervlak (m2),nl
vlucht (μ),nl
voedsel,nl
voertuig code,nl
voetbal,nl
voetbal competitie,nl
voetbal toernooi,nl
voetbal wedstrijd,nl
voetbalclub,nl
voetballer,nl
voetbalmanager,nl
voetbalseizoen,nl
vogel,nl
volgende evenement,nl
volgende infrastructuur,nl
volkslied,nl
volledige naam,nl
volleybal competitie,nl
volleybalcoach,nl
volleyballer,nl
volume (km3),nl
volume (μ³),nl
voorganger,nl
voormalig bandlid,nl
voormalig kwartier of district,nl
voormalig land,nl
voormalig team,nl
voormalige gemeente,nl
voormalige provincie,nl
voormalige regio,nl
voormalige stad of dorp,nl
voornaam,nl
voornaamste tak,nl
voorzitter,nl
vorig werk,nl
vorige evenement,nl
vorige infrastructuur,nl
vorige naam,nl
vulkaan,nl
vuurtoren,nl
wagon,nl
wapen,nl
warmwaterbron,nl
waterbaan,nl
waterpoloër,nl
waterschap,nl
waterscheiding (km2),nl
waterscheiding (m2),nl
watervlakte,nl
webcast,nl
website,nl
wedstrijd,nl
weekdier,nl
wees,nl
weg,nl
wegkruising,nl
wegtunnel,nl
werelderfgoed,nl
wereldkampioen snooker,nl
wereldranglijst snooker,nl
werk,nl
werkeenheid,nl
werkgebied,nl
werkgever,nl
werkgeversorganisatie,nl
wet,nl
wetboek,nl
wetenschappelijk tijdschrift,nl
wetenschappelijke conferentie,nl
wetenschappelijke naam,nl
wetenschappelijke theorie,nl
wetenschapper,nl
wetgevend orgaan,nl
wetsartikel,nl
wielercompetitie,nl
wielerploeg,nl
wielerronde,nl
wielerwedstrijd,nl
wielrenner,nl
wijding,nl
wijn,nl
wijnmakerij,nl
wijnstreek,nl
windrichting,nl
winkelcentrum,nl
winnaar,nl
wintersporter,nl
wodka,nl
woestijn,nl
wolfsklauw,nl
wolkenkrabber,nl
wordingsgebeurtenis,nl
worstelaar,nl
worstelevenement,nl
zaak,nl
zalig verklaard datum,nl
zalig verklaard door,nl
zalig verklaard plaats,nl
zanger,nl
zee,nl
zeges,nl
zenuw,nl
ziekenhuis,nl
ziekte,nl
zijtak,nl
zilver op de Olympische Spelen,nl
zilveren medaille drager,nl
zitplaatsen,nl
zo genoemd sinds,nl
zonsverduistering,nl
zoogdier,nl
zwemmer,nl
zwerm,nl
percentage van de vrouwelijke bevolking dat geletterd is,nl
gebied dat vroeger onder het gezag viel van een heer of vrouwe of een instelling van kerk of staat,nl
"datum aangenomen door Eerste Kamer, Hogerhuis, Senaat enz.",nl
Code Rijksbureau voor Kunsthistorische Documentatie,nl
naam in het Wade-Giles transscriptie van het Chinees,nl
Sam,nl
Jordy Thomassen,nl
APP,nl
Bell Berghuis,nl
E3 Harelbeke 2014,nl
