questions,lang
chef,fr
chef cuisinier,fr
chef d'orchestre,fr
cheval,fr
chien,fr
chiffre d'affaire ($),fr
château,fr
cimetière,fr
cimetière,fr
circuit,fr
circuit de course,fr
citation,fr
classe (biologie),fr
club de football,fr
club de rugby,fr
code postal,fr
col de montagne,fr
collection d'objets,fr
combattant,fr
communauté,fr
commune,fr
commune,fr
commune historique,fr
compagnie aérienne,fr
competition,fr
compositeur,fr
compositeur,fr
composition de musique classique,fr
compétences,fr
comédien,fr
concept théologique,fr
concours Eurovision de la chanson,fr
configuration,fr
conflit militaire,fr
conférence scientifique,fr
congrès,fr
conifere,fr
connu pour,fr
constellation,fr
continent,fr
corps celeste,fr
couleur,fr
couleur,fr
course,fr
course de chevaux,fr
coéquipier,fr
cratère,fr
cratère lunaire,fr
criminel,fr
crustacés,fr
créateur de bandes dessinées,fr
cuisine,fr
cycadophytes,fr
cycliste,fr
célébrité,fr
danceur,fr
date d'ouverture,fr
date de dernière version,fr
date de début,fr
date de début d'activité,fr
date de découverte,fr
date de décès,fr
date de fermeture,fr
date de fin,fr
date de naissance,fr
densité (μ3),fr
densité (μ3),fr
densité (μ3),fr
densité (μ3),fr
dessin animé,fr
devise,fr
devise,fr
devise,fr
diamètre (km),fr
diamètre (mm),fr
diamètre (mm),fr
diamètre (μ),fr
diamètre (μ),fr
diamètre (μ),fr
diamètre (μ),fr
diamètre (μ),fr
diamètre (μ),fr
diffuseur,fr
diocèse,fr
diplôme,fr
directeur de théâtre,fr
discipline sportive,fr
discogafía de artista,fr
distribution (moteur),fr
divorce,fr
doctrine chrétienne,fr
document,fr
domaine de premier niveau (tld),fr
domaine skiable,fr
dossier,fr
drame,fr
drapeau,fr
durée (m),fr
durée (s),fr
décoration,fr
découvreur,fr
définition,fr
démographie,fr
démonyme,fr
département,fr
département,fr
département outre mer,fr
député,fr
développeur,fr
ecclésiastique,fr
embryologie,fr
empereur romain,fr
emplacement,fr
enregistré à,fr
entraîneur,fr
entraîneur,fr
entraîneur de football,fr
entraîneur universitaire,fr
entreprise,fr
espèce,fr
est un arrêt,fr
eucaryote,fr
fait partie de,fr
famille,fr
famille,fr
fermier,fr
festival de musique,fr
festival du film,fr
fichier,fr
filiale,fr
film,fr
film,fr
fonction de personne,fr
fonction politique,fr
fondé par,fr
forces,fr
format,fr
formule,fr
forêt,fr
fougères,fr
fromage,fr
frère ou soeur,fr
fréquence (Hz),fr
fungi,fr
fuseau horaire,fr
fusée,fr
fusée,fr
galaxie,fr
gare,fr
gare,fr
genre,fr
genre (biologie),fr
genre de film,fr
genre littéraire,fr
genre musical,fr
ginkgo,fr
glacier,fr
gnétophytes,fr
golfeur,fr
gouvernement,fr
gouverneur,fr
gouverneur,fr
grand prix,fr
gratte-ciel,fr
grotte,fr
groupe,fr
groupe de musique,fr
groupe ethnique,fr
guitare,fr
guitariste,fr
gène,fr
géologie,fr
"haut fait, accomplissement",fr
haute école,fr
hauteur (cm),fr
hauteur (mm),fr
hauteur (mm),fr
hauteur (mm),fr
hauteur (mm),fr
hauteur (mm),fr
hauteur (mm),fr
hauteur (mm),fr
hauteur (μ),fr
historien,fr
humoriste,fr
hôpital,fr
hôtel,fr
identifiant BIBSYS,fr
idéologie,fr
illustrateur,fr
image,fr
image,fr
image fixe,fr
indicatif régional,fr
industrie,fr
influencé par,fr
infrastructure,fr
ingénieur,fr
insecte,fr
installation sportive,fr
instrument de musique,fr
instrumentaliste,fr
intercommunalité,fr
interprète,fr
inventaire du patrimoine,fr
jardin,fr
jeu,fr
jeu de société,fr
jeux vidéo,fr
joueur d'échecs,fr
joueur de badminton,fr
joueur de baseball,fr
joueur de basketball,fr
joueur de cricket,fr
joueur de football,fr
joueur de football américain,fr
joueur de football américain gridiron,fr
joueur de football canadien,fr
joueur de handball,fr
joueur de hockey sur glace,fr
joueur de poker,fr
joueur de rugby,fr
joueur de sports gaéliques,fr
joueur de tennis,fr
jour,fr
jour férié,fr
journal,fr
journal académique,fr
journaliste,fr
juge,fr
la ligue de course automobile,fr
label discographique,fr
label discographique,fr
lac,fr
langage,fr
langage de programmation,fr
langue,fr
langue originale,fr
lecteur du serment olympique,fr
lettre,fr
levée,fr
licence,fr
lieu,fr
lieu,fr
lieu au nord,fr
lieu au nord-est,fr
lieu au nord-ouest,fr
lieu au sud,fr
lieu au sud-est,fr
lieu au sud-ouest,fr
lieu de décès,fr
lieu de naissance,fr
lieu habité,fr
lieu le plus bas,fr
lieu naturel,fr
lieu à l'est,fr
lieu à l'ouest,fr
lieutenant,fr
lieutenant,fr
ligne,fr
ligue d'arts martiaux mixtes,fr
ligue d'hockey sur gazon,fr
ligue d'hockey sur glace,fr
ligue de baseball,fr
ligue de basketball,fr
ligue de bowling,fr
ligue de boxe,fr
ligue de courses motocycliste,fr
ligue de courses radio-télécommandé,fr
ligue de cricket,fr
ligue de crosse,fr
ligue de curling,fr
ligue de cyclisme,fr
ligue de football,fr
ligue de golf,fr
ligue de handball,fr
ligue de jeux vidéo,fr
ligue de paintball,fr
ligue de polo,fr
ligue de rugby,fr
ligue de softball,fr
ligue de speedway,fr
ligue de tennis,fr
ligue de volleyball,fr
ligue sportive,fr
linguiste,fr
lipide,fr
liste,fr
livre,fr
localité,fr
locataire,fr
locomotive,fr
logiciel,fr
loi,fr
longueur (km),fr
longueur (mm),fr
longueur (mm),fr
longueur (mm),fr
longueur (mm),fr
longueur (mm),fr
longueur (mm),fr
longueur (mm),fr
longueur (μ),fr
longueur d'onde (μ),fr
lutteur,fr
lycopodiopsida,fr
lymphe,fr
magazine,fr
magnitude absolue,fr
maire,fr
maire,fr
maladie,fr
mammifère,fr
management,fr
mandat,fr
manga,fr
mannequin,fr
mariage,fr
mascotte,fr
match de catch,fr
matériel,fr
membre du Congrès,fr
membre du Parlement,fr
mentor,fr
mer,fr
militaire,fr
minéral,fr
mision siguiente,fr
mission spatiale,fr
mode,fr
modèle,fr
mollusque,fr
monarque,fr
monastère,fr
montagne,fr
montagne la plus basse,fr
monument,fr
mort,fr
mosquée,fr
moteur d'automobile,fr
moto,fr
moulin à vent,fr
mousses,fr
mouvement artistique,fr
moyen de transport,fr
municipalité,fr
muscle,fr
musicien,fr
musique,fr
musée,fr
mécène,fr
médecine,fr
médicament,fr
mémorial,fr
métier,fr
nageur,fr
naissance,fr
nationalité,fr
navette spatiale,fr
navire,fr
nerf,fr
nom,fr
nom de couleur,fr
nom de famille,fr
nom de fichier,fr
nomber de médailles d'argent gagnées,fr
nomber de médailles d'or gagnées,fr
nomber de médailles de bronze gagnées,fr
nombre d'athlètes masculins participant,fr
nombre d'athlètes participant,fr
nombre d'athlètes participant féminins,fr
nombre d'employés,fr
nombre de clubs,fr
nombre de joueurs,fr
nombre de licenciés,fr
nombre de membres,fr
nombre de participants,fr
nombre de pixels (millions),fr
nombre de professionnels,fr
nombre de réacteurs,fr
nombre de sites,fr
nombre de virages,fr
nombre de voies,fr
notes,fr
nourriture,fr
numbre d'épreuves sportives,fr
numbre de sports,fr
numbre de sports nouvellement ajoutés,fr
numéro CAS,fr
objectif,fr
oeuvre majeure,fr
oiseau,fr
opéra,fr
ordre (taxonomie),fr
ordre religieux,fr
organisation,fr
organisation géopolitique,fr
organisation internationale,fr
organisation à but non lucratif,fr
origine,fr
orogenèse,fr
orphelin,fr
os,fr
pape,fr
parc,fr
parent,fr
parlement,fr
paroisse,fr
parolier,fr
parti politique,fr
pasteur,fr
patineur artistique,fr
patriarche chrétien,fr
pays,fr
pays,fr
peintre,fr
peinture,fr
personnage de bandes dessinées,fr
personnage de fiction,fr
personnage principal,fr
personne,fr
pertes,fr
phare,fr
philosophe,fr
photographe,fr
pilote de formule 1,fr
pilote de la nascar,fr
pièce de théâtre,fr
place,fr
plage,fr
plante,fr
planète,fr
playmate pour Playboy,fr
poids (g),fr
poids (kg),fr
poids (kg),fr
poids (kg),fr
poids (kg),fr
poids (kg),fr
poids (kg),fr
poids (kg),fr
poids (kg),fr
point d'ébullition (K),fr
point d'ébullition (K),fr
point d'ébullition (K),fr
point de départ,fr
point de fusion (K),fr
point de fusion (K),fr
point de fusion (K),fr
poisson,fr
politicien,fr
pont,fr
population,fr
population en date de,fr
population totale,fr
portée principale (μ),fr
position la plus basse,fr
pouvoir législatif,fr
poème,fr
poète,fr
premier ministre,fr
premier propriétaire,fr
première épreuve olympique,fr
prison,fr
produit chimique,fr
produit intérieur brut par habitant,fr
professeur,fr
profondeur,fr
profondeur (μ),fr
profondeur maximale (μ),fr
profondeur moyenne (μ),fr
programme de radiodiffusion,fr
projet,fr
projet de recherche,fr
propriétaire,fr
protéine,fr
province,fr
préfecture,fr
préfix ATC,fr
prénom,fr
présentateur,fr
président,fr
président,fr
président,fr
prêtre,fr
publication périodique,fr
période,fr
période géologiqueA,fr
période temporelle,fr
pôle,fr
quartier,fr
raisin,fr
rampe de lancement,fr
religieux,fr
religion,fr
reptile,fr
restaurant,fr
rivière,fr
rivière,fr
roman,fr
route,fr
royauté,fr
royauté Britannique,fr
ruisseau,fr
règne (biologie),fr
réalisateur,fr
réalisateur de film,fr
réalisateur de télévision,fr
récompense,fr
récompense,fr
régime de classification,fr
régime de droit,fr
régime politique,fr
région,fr
région administrative,fr
région administrative d'état,fr
région administrative dans une église,fr
région naturelle,fr
région viticole,fr
résolution,fr
résultat de Jeux Olympiques,fr
résultats d'une compétition sportive,fr
réunion,fr
révolte,fr
rôle,fr
rôle d'une personne dans un événement,fr
saint,fr
sanctuaire,fr
satellite,fr
scientifique,fr
sculpteur,fr
sculpture,fr
scénariste,fr
seigneurie,fr
service public,fr
sexe,fr
single,fr
site d'intérêt scientifique particulier,fr
site du patrimoine mondial,fr
site historique,fr
site web,fr
siège,fr
skieur,fr
spectacle,fr
sport,fr
sport,fr
stade,fr
station de métro,fr
station de radio,fr
station de ski,fr
station de tramway,fr
station spatiale,fr
statistique,fr
statut,fr
straat,fr
structure anatomique,fr
structure architecturale,fr
style architectural,fr
substance chimique,fr
suffix ATC,fr
suivi par,fr
sujet académique,fr
superficie (km2),fr
superficie (km2),fr
superficie (m2),fr
superficie (m2),fr
synagogue,fr
syndicat de patrons,fr
syndicat professionnel,fr
sénateur,fr
taille de fichier (B),fr
taille de fichier (MB),fr
taille de l'image (px),fr
taxe,fr
temple,fr
température (K),fr
température (K),fr
température (K),fr
territoire,fr
théâtre,fr
titulaire,fr
torero,fr
tour,fr
tournoi,fr
traducteur,fr
train,fr
traité,fr
tramway,fr
tremblement de terre,fr
tunnel,fr
tunnel de voie navigable,fr
type,fr
type de couture,fr
type de surface,fr
type de surface (tennis),fr
téléphone mobile,fr
unité militaire,fr
université,fr
université,fr
usage actuel,fr
usage initial,fr
usine,fr
vaisseau spatial,fr
valeur,fr
vallée,fr
veine,fr
vente,fr
vente,fr
vice premier ministre,fr
vice président,fr
vient après,fr
village,fr
ville,fr
ville,fr
ville,fr
ville,fr
ville dirigeante,fr
vin,fr
vin A.O.C.,fr
vodka,fr
volcan,fr
volume (km3),fr
volume (km3),fr
volume (μ³),fr
volume (μ³),fr
volume (μ³),fr
véhicule spatial,fr
zone peuplée,fr
zoo,fr
athlète de la national collegiate athletic association,fr
à côté de,fr
éclipse de soleil,fr
écluse,fr
école,fr
école,fr
économiste,fr
écrivain,fr
édifice religieux,fr
éditeur,fr
éducation,fr
église,fr
égyptologue,fr
élection,fr
élève,fr
élément chimique,fr
émission de télévision,fr
éolienne,fr
épisode télévisé,fr
équipe,fr
équipe américaine de football américain,fr
équipe canadienne de football américain,fr
équipe de basket-ball,fr
équipe de basket-ball,fr
équipe de handball,fr
équipe de hockey,fr
équipe sportive,fr
établissement d'enseignement,fr
établissement vinicole,fr
étape,fr
état,fr
étendue d'eau,fr
étoile,fr
évènement,fr
évènement collectif,fr
évènement d'arts martiaux mixtes,fr
évènement dans la vie privée,fr
évènement sportif,fr
évènement suivant,fr
évêque chrétien,fr
île,fr
œuvre,fr
œuvre d'art,fr
œuvre musicale,fr
œuvre écrite,fr
Prieur,fr
Eyjafjallajökull,fr
Gabrielle,fr
La Bataille de Solférino,fr
2 automnes 3 hivers,fr
Avant l'hiver,fr
Belle et Sébastien,fr
Joy,fr
L'Art de la fugue,fr
Le Bonheur,fr
On a le temps,fr
Une villa à Los Angeles,fr
"Aimer, boire et chanter",fr
Avant que de tout perdre,fr
Minuscule : La Vallée des fourmis perdues,fr
Mon âme par toi guérie,fr
Audubon,fr
Genre,fr
"Deux jours, une nuit",fr
A,fr
Berthe Morisot,fr
Diplomatie,fr
Le Meneur de joies,fr
Trident,fr
Un jour viendra,fr
Wattignies,fr
Aux yeux des vivants,fr
Eden,fr
Jacky au royaume des filles,fr
Barbecue,fr
Dans la cour,fr
Les Hauts de Hurlevent,fr
